"","X","gvkey","datadate","viol","fyearq","fqtr","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","ibq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","xintq","prccq","splticrm","sich","sic","cuur0000aa0","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","Year","gvkey.1","datadate.1","fyearq.1","fqtr.1","indfmt","curcdq","datacqtr.1","datafqtr.1","prcraq","aqcy","capxy","prstkcy","costat","dvpspq","Index.1","Index.Correct","time","time.2"
"12",887,1496,"31.12.05",1,2005,4,"2005Q4","2005Q4",10.666,15.099,1.278,1.546,0.138,2.178,-1.452,3.305,6.627,-1.35,4.376,7.015,8.472,0,0.053,5.92,"",2540,2540,589.4,"http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006807.txt",8855,"10-K","AMERICAN LOCKER GROUP INC","31.12.05","31.08.07",2005,1496,"31.12.05",2005,4,"INDL","USD","2005Q4","2005Q4",NA,0,0.476,0,"A",0,"http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006807","http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006807-index.htm","2007-08-31 17:27:48","17:27:48"
"13",931,1523,"31.03.06",1,2006,1,"2006Q1","2006Q1",8.178,30.531,1.92,8.892,1.116,4.276,0.28,5.54,11.31,1.235,8.644,7.15,19.221,1.037,0.062,6.27,"",7380,7380,598.6,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-020583.txt",700721,"10-Q","AMERICAN MEDICAL ALERT CORP","31.03.06","15.05.06",2006,1523,"31.03.06",2006,1,"INDL","USD","2006Q1","2006Q1",NA,2.953,1.13,0,"I",0,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-020583","http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-020583-index.htm","2006-05-15 16:46:50","16:46:50"
"14",1257,1651,"30.09.07",1,2007,4,"2007Q3","2007Q4",1250.488,2350.533,154.992,156.024,333.682,11.333,-62.59,898.954,967.995,59.621,215.56,624.438,1382.538,0,4.872,13.85,"BB-",3357,3357,624.543,"http://www.sec.gov/Archives/edgar/data/317093/0001193125-07-251888.txt",317093,"10-K","ANDREW CORP","30.09.07","21.11.07",2007,1651,"30.09.07",2007,4,"INDL","USD","2007Q3","2007Q4",0,53.67,57.819,20.425,"I",0,"http://www.sec.gov/Archives/edgar/data/317093/0001193125-07-251888","http://www.sec.gov/Archives/edgar/data/317093/0001193125-07-251888-index.htm","2007-11-21 12:04:25","12:04:25"
"15",1268,1655,"31.07.06",1,2006,2,"2006Q2","2006Q2",115.436,328.494,5.788,9.424,0.246,86.501,-0.715,80.834,183.319,5.452,99.006,105.286,145.175,0,2.349,16.85,"",7200,7200,609.6,"http://www.sec.gov/Archives/edgar/data/6571/0001068800-06-000926.txt",6571,"10-Q","ANGELICA CORP /NEW/","29.07.06","07.09.06",2006,1655,"31.07.06",2006,2,"INDL","USD","2006Q2","2006Q2",NA,0,4.002,0,"I",0.11,"http://www.sec.gov/Archives/edgar/data/6571/0001068800-06-000926","http://www.sec.gov/Archives/edgar/data/6571/0001068800-06-000926-index.htm","2006-09-07 12:42:36","12:42:36"
"16",1324,1677,"30.06.04",1,2004,2,"2004Q2","2004Q2",499.988,887.622,18.173,35.58,43.44,157.335,6.178,197.935,405.079,19.115,96.551,250.987,482.543,38.636,3.21,15.7,"BB",3949,3949,568.2,"http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-135583.txt",6720,"10-Q","K2 INC","30.06.04","09.08.04",2004,1677,"30.06.04",2004,2,"INDL","USD","2004Q2","2004Q2",NA,28.672,14.258,0,"I",0,"http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-135583","http://www.sec.gov/Archives/edgar/data/6720/0001193125-04-135583-index.htm","2004-08-09 13:08:25","13:08:25"
"17",1549,1783,"28.02.06",1,2006,1,"2006Q1","2006Q1",10.832,13.293,1.115,1.968,0.178,2.603,0.272,3.241,5.844,0.543,2.169,4.302,7.449,0,0.082,5.89,"",3523,3523,595.2,"http://www.sec.gov/Archives/edgar/data/7623/0000007623-06-000005.txt",7623,"10QSB","ARTS WAY MANUFACTURING CO INC","28.02.06","13.04.06",2006,1783,"28.02.06",2006,1,"INDL","USD","2006Q1","2006Q1",NA,0,0.334,0,"A",0,"http://www.sec.gov/Archives/edgar/data/7623/0000007623-06-000005","http://www.sec.gov/Archives/edgar/data/7623/0000007623-06-000005-index.htm","2006-04-13 17:11:54","17:11:54"
"18",1605,1823,"31.12.04",1,2004,4,"2004Q4","2004Q4",24.482,45.236,9.476,7.8,0.908,11.154,-0.658,6.378,22.576,-0.512,15.221,8.338,22.66,0,0.134,5.1,"",3640,3640,570.1,"http://www.sec.gov/Archives/edgar/data/8063/0000899797-05-000104.txt",8063,"10-K","ASTRONICS CORP","25.03.05","25.03.05",2004,1823,"31.12.04",2004,4,"INDL","USD","2004Q4","2004Q4",NA,0,1.136,0,"A",0,"http://www.sec.gov/Archives/edgar/data/8063/0000899797-05-000104","http://www.sec.gov/Archives/edgar/data/8063/0000899797-05-000104-index.htm","2005-03-25 08:58:21","08:58:21"
"19",1684,1878,"31.07.06",1,2006,2,"2006Q2","2006Q2",835.9,1475.5,468.2,230.237,0,0,86.8,496.8,580.5,108.7,64.8,449.6,895,0,0,34.11,"",7372,7372,609.6,"http://www.sec.gov/Archives/edgar/data/769397/0001193125-07-128961.txt",769397,"10-Q","AUTODESK INC","31.07.06","04.06.07",2006,1878,"31.07.06",2006,2,"INDL","USD","2006Q2","2006Q2",NA,43.5,18.4,154.4,"A",0,"http://www.sec.gov/Archives/edgar/data/769397/0001193125-07-128961","http://www.sec.gov/Archives/edgar/data/769397/0001193125-07-128961-index.htm","2007-06-04 17:01:50","17:01:50"
"20",1729,1902,"30.09.05",1,2005,3,"2005Q3","2005Q3",8.857,20.999,1.37,10.786,3.328,0.756,-1.573,8.248,9.004,-1.263,11.54,5.632,11.995,0,0.04,4.21,"",2834,2834,595.4,"http://www.sec.gov/Archives/edgar/data/718007/0000926236-05-000145.txt",718007,"10-Q","CARRINGTON LABORATORIES INC /TX/","30.09.05","14.11.05",2005,1902,"30.09.05",2005,3,"INDL","USD","2005Q3","2005Q3",0,0,0.647,0,"I",0,"http://www.sec.gov/Archives/edgar/data/718007/0000926236-05-000145","http://www.sec.gov/Archives/edgar/data/718007/0000926236-05-000145-index.htm","2005-11-14 15:21:55","15:21:55"
"21",1754,1906,"31.12.07",1,2007,4,"2007Q4","2007Q4",NA,706.541,195.419,8.525,0,130.766,1.92,NA,178.838,4.135,88.295,60.202,527.703,6.546,1.765,41.82,"",1531,6552,629.174,"http://www.sec.gov/Archives/edgar/data/39677/0000950144-08-001989.txt",39677,"10-K","AVATAR HOLDINGS INC","31.12.07","17.03.08",2007,1906,"31.12.07",2007,4,"INDL","USD","2007Q4","2007Q4",0,0,31.966,0.965,"A",0,"http://www.sec.gov/Archives/edgar/data/39677/0000950144-08-001989","http://www.sec.gov/Archives/edgar/data/39677/0000950144-08-001989-index.htm","2008-03-17 12:10:30","12:10:30"
