"","gvkey","viol","Date","gvkey.1","datadate.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","date.rep","date.fil"
"36",1496,1,"31.12.2006",1496,"31.12.2006",2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",10.315,14.47,2.508,1.55,0.152,2.026,2.407,5.215,0.124,4.077,5.772,9.255,0,0,0.099,0,"A",0,0,4.35,897,"2006Q4",1496,"http://www.sec.gov/Archives/edgar/data/8855/0001047469-07-006820.txt",8855,"10-K","AMERICAN LOCKER GROUP INC","31.12.2006","04.09.2007"
"37",1496,1,"31.12.2007",1496,"31.12.2007",2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",7.446,12.416,1.562,1.55,0.097,2.047,2.128,4.658,-1.474,4.513,3.872,7.758,0,0,0.818,0,"A",0,0,3.75,901,"2007Q4",1496,"http://www.sec.gov/Archives/edgar/data/8855/0000950134-08-011505.txt",8855,"10-K","AMERICAN LOCKER GROUP INC","31.12.2007","19.06.2008"
"38",1523,1,"31.03.2006",1523,"31.03.2006",2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",8.178,30.531,1.92,8.892,1.116,4.276,5.54,11.31,1.235,8.644,7.15,19.221,1.037,2.953,1.13,0,"I",0,0,6.27,942,"2006Q1",1523,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-020583.txt",700721,"10-Q","AMERICAN MEDICAL ALERT CORP","31.03.2006","15.05.2006"
"39",1523,1,"30.06.2006",1523,"30.06.2006",2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",8.41,30.928,1.45,8.95,1.115,3.997,5.724,11.277,1.278,9.043,7.797,19.651,1.028,3.191,2.117,0,"I",0,0,6.15,943,"2006Q2",1523,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-06-033488.txt",700721,"10-Q","AMERICAN MEDICAL ALERT CORP","30.06.2006","14.08.2006"
"40",1523,1,"30.09.2007",1523,"30.09.2007",2007,3,"INDL","C","D","STD","USD","2007Q3","2007Q3",9.421,35.213,1.309,9.319,1.572,4.921,5.526,12.018,1.619,10.326,8.771,23.195,1.028,0.475,3.223,0,"I",0,0,9.04,948,"2007Q3",1523,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-07-061389.txt",700721,"10-Q","AMERICAN MEDICAL ALERT CORP","30.09.2007","14.11.2007"
"41",1523,1,"31.12.2006",1523,"31.12.2006",2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",7.217,32.608,0.856,9.186,1.567,5.752,4.029,11.263,1.585,9.308,8.063,21.345,0.992,4.529,3.563,0,"I",0,0,6.69,945,"2006Q4",1523,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-07-016448.txt",700721,"10-K","AMERICAN MEDICAL ALERT CORP","31.12.2006","02.04.2007"
"42",1523,1,"31.12.2007",1523,"31.12.2007",2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",8.672,34.953,0.912,9.339,1.456,4.726,5.071,11.282,1.611,10.799,9.272,23.671,0.947,0.481,4.543,0.02,"I",0,0,7.03,949,"2007Q4",1523,"http://www.sec.gov/Archives/edgar/data/700721/0001144204-08-019174.txt",700721,"10-K","AMERICAN MEDICAL ALERT CORP","31.12.2007","31.03.2008"
"43",1606,1,"30.06.2004",1606,"30.06.2004",2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",5.754,9.634,1.939,3.082,2.8,0,3.881,3.881,NA,3.827,2.057,5.753,0,0,0.251,0,"I",0,0,2.62,1116,"2004Q2",1606,"http://www.sec.gov/Archives/edgar/data/741559/0001019687-04-001694.txt",741559,"10QSB","AMISTAR CORP","30.06.2004","05.08.2004"
"44",1606,1,"30.09.2004",1606,"30.09.2004",2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",6.493,10.297,1.866,3.094,3.3,0,5.443,5.443,NA,3.753,0.553,4.854,0,0,0.264,0,"I",0,0,2.83,1117,"2004Q3",1606,"http://www.sec.gov/Archives/edgar/data/741559/0001019687-04-002453.txt",741559,"10QSB","AMISTAR CORP","30.09.2004","12.11.2004"
"45",1606,1,"31.12.2004",1606,"31.12.2004",2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",12.469,13.288,5.96,3.143,2.7,0,5.931,9.706,NA,0.351,0.841,3.582,0,0,0.266,0,"I",0,0,3.88,1118,"2004Q4",1606,"http://www.sec.gov/Archives/edgar/data/741559/0001019687-05-000845.txt",741559,"10KSB","AMISTAR CORP","31.12.2004","30.03.2005"
"46",1642,1,"31.03.2004",1642,"31.03.2004",2004,2,"INDL","C","D","STD","USD","2004Q1","2004Q2",11.575,15.782,0.858,1.865,2.696,0,10.711,10.711,-0.686,2.421,4.126,5.071,0,0,0.005,0,"I",0,0,1.629,1245,"2004Q1",1642,"http://www.sec.gov/Archives/edgar/data/778808/0001193125-04-093639.txt",778808,"10QSB","CROWN ANDERSEN INC","31.03.2004","24.05.2004"
"47",1642,1,"30.06.2004",1642,"30.06.2004",2004,3,"INDL","C","D","STD","USD","2004Q2","2004Q3",11.135,15.262,1.829,1.865,3.673,0,10.915,10.915,-0.512,2.373,3.787,4.347,0,0,0.027,0,"I",0,0,1.92,1246,"2004Q2",1642,"http://www.sec.gov/Archives/edgar/data/778808/0001193125-04-141375.txt",778808,"10QSB","CROWN ANDERSEN INC","30.06.2004","16.08.2004"
"48",1651,1,"30.09.2007",1651,"30.09.2007",2007,4,"INDL","C","D","STD","USD","2007Q3","2007Q4",1250.488,2350.533,154.992,156.024,333.682,11.333,898.954,967.995,59.621,215.56,624.438,1382.538,0,53.67,57.819,20.425,"I",0,0,13.85,1277,"2007Q3",1651,"http://www.sec.gov/Archives/edgar/data/317093/0001193125-07-251888.txt",317093,"10-K","ANDREW CORP","30.09.2007","21.11.2007"
"49",1655,1,"31.07.2006",1655,"31.07.2006",2006,2,"INDL","C","D","STD","USD","2006Q2","2006Q2",115.436,328.494,5.788,9.424,0.246,86.501,80.834,183.319,5.452,99.006,105.286,145.175,0,0,4.002,0,"I",0.11,0.11,16.85,1288,"2006Q2",1655,"http://www.sec.gov/Archives/edgar/data/6571/0001068800-06-000926.txt",6571,"10-Q","ANGELICA CORP /NEW/","29.07.2006","07.09.2006"
