"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"1649",8001,14489,1,"31.07.2006",14489,"31.07.2006","2006Q2","2006Q2",1649
"1653",8015,14490,1,"31.03.2005",14490,"31.03.2005","2005Q1","2005Q3",1653
"1662",8041,14549,1,"28.02.2006",14549,"28.02.2006","2006Q1","2006Q2",1662
"1665",8049,14561,1,"31.03.2004",14561,"31.03.2004","2004Q1","2004Q3",1665
"1667",8081,14624,1,"30.09.2007",14624,"30.09.2007","2007Q3","2007Q3",1667
"1668",8090,14638,1,"31.12.2004",14638,"31.12.2004","2004Q4","2004Q4",1668
"1676",8111,14653,1,"30.06.2005",14653,"30.06.2005","2005Q2","2005Q4",1676
"1677",8138,14790,1,"30.09.2007",14790,"30.09.2007","2007Q3","2007Q3",1677
"1678",8154,14815,1,"30.09.2006",14815,"30.09.2006","2006Q3","2006Q2",1678
"1680",8163,14834,1,"29.02.2004",14834,"29.02.2004","2004Q1","2004Q2",1680
"1684",8187,14852,1,"31.12.2005",14852,"31.12.2005","2005Q4","2006Q1",1684
"1688",8221,14863,1,"30.06.2007",14863,"30.06.2007","2007Q2","2007Q2",1688
"1698",8253,14898,1,"30.06.2006",14898,"30.06.2006","2006Q2","2006Q2",1698
"1723",8336,15291,1,"31.12.2005",15291,"31.12.2005","2005Q4","2005Q4",1723
"1724",8351,15331,1,"30.09.2004",15331,"30.09.2004","2004Q3","2004Q3",1724
"1726",8383,15347,1,"30.09.2007",15347,"30.09.2007","2007Q3","2007Q3",1726
"1727",8403,15474,1,"30.09.2007",15474,"30.09.2007","2007Q3","2007Q4",1727
"1738",8444,16405,1,"31.12.2006",16405,"31.12.2006","2006Q4","2006Q4",1738
"1739",8454,16456,1,"30.06.2004",16456,"30.06.2004","2004Q2","2004Q2",1739
"1745",8481,16488,1,"30.04.2006",16488,"30.04.2006","2006Q1","2006Q3",1745
"1760",8517,18364,1,"31.03.2004",18364,"31.03.2004","2004Q1","2004Q1",1760
"1761",8539,18560,1,"30.09.2004",18560,"30.09.2004","2004Q3","2004Q3",1761
"1762",8545,18560,1,"31.03.2006",18560,"31.03.2006","2006Q1","2006Q1",1762
"1780",8570,19034,1,"30.06.2004",19034,"30.06.2004","2004Q2","2004Q2",1780
"1787",8609,19402,1,"31.07.2004",19402,"31.07.2004","2004Q2","2004Q2",1787
"1794",8635,19431,1,"31.01.2006",19431,"31.01.2006","2005Q4","2005Q4",1794
"1795",8642,19431,1,"31.10.2007",19431,"31.10.2007","2007Q3","2007Q3",1795
"1796",8659,19557,1,"31.03.2007",19557,"31.03.2007","2007Q1","2007Q1",1796
"1803",8686,19911,1,"30.09.2006",19911,"30.09.2006","2006Q3","2006Q4",1803
"1805",8698,20036,1,"31.12.2004",20036,"31.12.2004","2004Q4","2004Q4",1805
"1818",8728,20217,1,"30.06.2007",20217,"30.06.2007","2007Q2","2007Q2",1818
"1820",8738,20296,1,"31.12.2004",20296,"31.12.2004","2004Q4","2004Q4",1820
"1821",8766,20653,1,"31.12.2006",20653,"31.12.2006","2006Q4","2006Q4",1821
"1833",8814,20904,1,"31.12.2004",20904,"31.12.2004","2004Q4","2005Q1",1833
"1834",8845,21136,1,"31.12.2007",21136,"31.12.2007","2007Q4","2007Q4",1834
"1835",8850,21244,1,"31.03.2004",21244,"31.03.2004","2004Q1","2004Q1",1835
"1836",8875,21427,1,"30.09.2005",21427,"30.09.2005","2005Q3","2006Q1",1836
"1842",8900,21519,1,"31.07.2004",21519,"31.07.2004","2004Q2","2004Q3",1842
"1853",8940,21663,1,"30.09.2004",21663,"30.09.2004","2004Q3","2004Q3",1853
"1854",8970,21677,1,"30.09.2007",21677,"30.09.2007","2007Q3","2007Q3",1854
"1855",8979,21763,1,"31.12.2004",21763,"31.12.2004","2004Q4","2004Q4",1855
"1861",9011,21856,1,"30.09.2005",21856,"30.09.2005","2005Q3","2005Q4",1861
"1864",9040,22140,1,"30.09.2005",22140,"30.09.2005","2005Q3","2005Q3",1864
"1880",9087,22205,1,"31.12.2007",22205,"31.12.2007","2007Q4","2007Q4",1880
"1881",9096,22308,1,"31.03.2005",22308,"31.03.2005","2005Q1","2005Q1",1881
"1891",9132,22447,1,"30.06.2005",22447,"30.06.2005","2005Q2","2005Q4",1891
"1892",9135,22447,1,"30.09.2006",22447,"30.09.2006","2006Q3","2006Q3",1892
"1895",9147,22542,1,"31.08.2004",22542,"31.08.2004","2004Q3","2004Q4",1895
"1904",9166,22543,1,"30.09.2004",22543,"30.09.2004","2004Q3","2004Q4",1904
"1905",9184,22612,1,"30.04.2004",22612,"30.04.2004","2004Q1","2004Q1",1905
"1911",9216,22632,1,"30.06.2005",22632,"30.06.2005","2005Q2","2005Q4",1911
"1913",9236,22718,1,"31.03.2006",22718,"31.03.2006","2006Q1","2006Q3",1913
"1916",9261,22729,1,"31.12.2007",22729,"31.12.2007","2007Q4","2007Q4",1916
"1917",9266,22797,1,"31.03.2004",22797,"31.03.2004","2004Q1","2003Q4",1917
"1937",9326,22978,1,"31.03.2006",22978,"31.03.2006","2006Q1","2006Q1",1937
"1938",9335,23195,1,"31.08.2004",23195,"31.08.2004","2004Q3","2004Q1",1938
"1953",9377,23387,1,"31.03.2005",23387,"31.03.2005","2005Q1","2005Q1",1953
"1954",9393,23528,1,"31.03.2005",23528,"31.03.2005","2005Q1","2005Q1",1954
"1964",9415,23535,1,"30.11.2005",23535,"30.11.2005","2005Q4","2006Q1",1964
"1970",9436,23561,1,"30.06.2006",23561,"30.06.2006","2006Q2","2006Q2",1970
"1977",9453,23577,1,"30.09.2005",23577,"30.09.2005","2005Q3","2006Q1",1977
"1998",9494,23767,1,"30.06.2006",23767,"30.06.2006","2006Q2","2006Q2",1998
"2003",9509,23774,1,"30.06.2005",23774,"30.06.2005","2005Q2","2005Q2",2003
"2005",9524,23898,1,"30.09.2005",23898,"30.09.2005","2005Q3","2005Q4",2005
