"","X","gvkey","viol","datadate","gvkey.1","datadate.1","datacqtr","datafqtr","Index"
"4009",18852,120816,1,"31.12.2007",120816,"31.12.2007","2007Q4","2007Q4",4009
"4014",18891,120824,1,"30.09.2007",120824,"30.09.2007","2007Q3","2007Q3",4014
"4016",18895,120835,1,"30.06.2004",120835,"30.06.2004","2004Q2","2004Q2",4016
"4018",18906,120835,1,"31.03.2007",120835,"31.03.2007","2007Q1","2007Q1",4018
"4019",18914,121437,1,"31.03.2004",121437,"31.03.2004","2004Q1","2004Q1",4019
"4023",18938,121553,1,"31.12.2005",121553,"31.12.2005","2005Q4","2006Q2",4023
"4024",18950,121560,1,"30.11.2004",121560,"30.11.2004","2004Q4","2004Q4",4024
"4029",18968,121759,1,"31.12.2005",121759,"31.12.2005","2005Q4","2005Q4",4029
"4030",18996,121934,1,"31.12.2007",121934,"31.12.2007","2007Q4","2007Q4",4030
"4032",19004,122034,1,"31.12.2004",122034,"31.12.2004","2004Q4","2005Q2",4032
"4033",19011,122034,1,"31.12.2006",122034,"31.12.2006","2006Q4","2007Q2",4033
"4037",19021,122159,1,"31.12.2004",122159,"31.12.2004","2004Q4","2004Q4",4037
"4038",19027,122159,1,"30.09.2006",122159,"30.09.2006","2006Q3","2006Q3",4038
"4042",19042,122514,1,"30.06.2005",122514,"30.06.2005","2005Q2","2005Q2",4042
"4044",19050,122514,1,"30.06.2007",122514,"30.06.2007","2007Q2","2007Q2",4044
"4046",19057,122655,1,"30.09.2004",122655,"30.09.2004","2004Q3","2004Q3",4046
"4056",19086,122678,1,"31.12.2006",122678,"31.12.2006","2006Q4","2006Q4",4056
"4057",19108,123017,1,"30.06.2007",123017,"30.06.2007","2007Q2","2007Q2",4057
"4060",19133,123714,1,"31.12.2005",123714,"31.12.2005","2005Q4","2005Q4",4060
"4064",19150,124036,1,"30.06.2006",124036,"30.06.2006","2006Q2","2006Q4",4064
"4067",19160,124318,1,"30.06.2004",124318,"30.06.2004","2004Q2","2004Q2",4067
"4068",19177,124320,1,"31.03.2007",124320,"31.03.2007","2007Q1","2007Q1",4068
"4070",19185,124358,1,"30.09.2004",124358,"30.09.2004","2004Q3","2004Q3",4070
"4074",19203,124374,1,"31.03.2004",124374,"31.03.2004","2004Q1","2004Q1",4074
"4080",19233,124435,1,"30.09.2006",124435,"30.09.2006","2006Q3","2006Q3",4080
"4083",19270,125000,1,"31.03.2007",125000,"31.03.2007","2007Q1","2007Q1",4083
"4084",19285,125237,1,"31.12.2005",125237,"31.12.2005","2005Q4","2005Q4",4084
"4085",19301,125275,1,"31.12.2004",125275,"31.12.2004","2004Q4","2005Q1",4085
"4086",19327,125358,1,"31.10.2006",125358,"31.10.2006","2006Q3","2007Q1",4086
"4087",19344,125600,1,"30.06.2006",125600,"30.06.2006","2006Q2","2006Q2",4087
"4088",19363,125860,1,"31.03.2006",125860,"31.03.2006","2006Q1","2006Q1",4088
"4090",19372,126046,1,"31.12.2004",126046,"31.12.2004","2004Q4","2004Q4",4090
"4091",19382,126046,1,"30.09.2007",126046,"30.09.2007","2007Q3","2007Q3",4091
"4093",19400,126056,1,"31.03.2007",126056,"31.03.2007","2007Q1","2007Q1",4093
"4096",19417,126297,1,"30.06.2006",126297,"30.06.2006","2006Q2","2006Q2",4096
"4099",19437,126417,1,"30.04.2007",126417,"30.04.2007","2007Q1","2006Q4",4099
"4100",19446,126794,1,"30.09.2004",126794,"30.09.2004","2004Q3","2004Q4",4100
"4105",19461,127378,1,"31.03.2004",127378,"31.03.2004","2004Q1","2004Q1",4105
"4106",19477,127455,1,"31.12.2006",127455,"31.12.2006","2006Q4","2006Q4",4106
"4108",19491,127456,1,"30.09.2005",127456,"30.09.2005","2005Q3","2005Q3",4108
"4109",19503,127462,1,"31.01.2005",127462,"31.01.2005","2004Q4","2004Q4",4109
"4110",19521,127464,1,"30.09.2004",127464,"30.09.2004","2004Q3","2004Q3",4110
"4112",19539,127484,1,"30.06.2005",127484,"30.06.2005","2005Q2","2005Q2",4112
"4115",19548,127484,1,"30.09.2007",127484,"30.09.2007","2007Q3","2007Q3",4115
"4116",19559,127644,1,"31.12.2006",127644,"31.12.2006","2006Q4","2006Q4",4116
"4120",19569,128663,1,"30.09.2004",128663,"30.09.2004","2004Q3","2004Q3",4120
"4124",19590,129078,1,"31.12.2004",129078,"31.12.2004","2004Q4","2004Q4",4124
"4126",19597,129078,1,"30.09.2006",129078,"30.09.2006","2006Q3","2006Q3",4126
"4128",19608,129441,1,"31.12.2005",129441,"31.12.2005","2005Q4","2005Q4",4128
"4130",19635,129849,1,"30.09.2007",129849,"30.09.2007","2007Q3","2007Q3",4130
"4132",19641,129851,1,"31.03.2004",129851,"31.03.2004","2004Q1","2004Q1",4132
"4133",19659,130040,1,"31.12.2004",130040,"31.12.2004","2004Q4","2005Q1",4133
"4137",19690,130041,1,"31.12.2007",130041,"31.12.2007","2007Q4","2007Q4",4137
"4138",19697,130399,1,"30.09.2004",130399,"30.09.2004","2004Q3","2004Q3",4138
"4139",19705,130764,1,"31.03.2005",130764,"31.03.2005","2005Q1","2005Q1",4139
"4142",19714,130764,1,"30.09.2007",130764,"30.09.2007","2007Q3","2007Q3",4142
"4144",19730,132525,1,"30.09.2006",132525,"30.09.2006","2006Q3","2006Q3",4144
"4148",19742,132980,1,"30.09.2004",132980,"30.09.2004","2004Q3","2004Q3",4148
"4152",19761,133425,1,"31.12.2005",133425,"31.12.2005","2005Q4","2005Q4",4152
"4171",19797,133767,1,"31.01.2005",133767,"31.01.2005","2004Q4","2004Q4",4171
"4174",19826,133888,1,"31.05.2007",133888,"31.05.2007","2007Q2","2006Q4",4174
"4177",19831,133944,1,"31.12.2004",133944,"31.12.2004","2004Q4","2005Q2",4177
"4179",19857,133985,1,"31.03.2007",133985,"31.03.2007","2007Q1","2007Q1",4179
"4191",19873,134026,1,"31.03.2004",134026,"31.03.2004","2004Q1","2004Q1",4191
"4196",19887,134026,1,"30.09.2007",134026,"30.09.2007","2007Q3","2007Q3",4196
"4197",19900,134932,1,"31.12.2005",134932,"31.12.2005","2005Q4","2005Q4",4197
"4203",19942,135245,1,"31.03.2005",135245,"31.03.2005","2005Q1","2005Q1",4203
"4208",19968,135401,1,"31.03.2005",135401,"31.03.2005","2005Q1","2005Q1",4208
"4222",19997,135844,1,"30.06.2006",135844,"30.06.2006","2006Q2","2006Q3",4222
"4229",20022,135986,1,"31.12.2007",135986,"31.12.2007","2007Q4","2007Q4",4229
"4230",20029,136307,1,"30.09.2004",136307,"30.09.2004","2004Q3","2004Q3",4230
"4231",20051,136648,1,"31.03.2005",136648,"31.03.2005","2005Q1","2005Q1",4231
"4234",20093,137131,1,"30.09.2005",137131,"30.09.2005","2005Q3","2005Q3",4234
"4238",20114,137434,1,"31.12.2005",137434,"31.12.2005","2005Q4","2005Q4",4238
"4245",20128,137864,1,"30.06.2004",137864,"30.06.2004","2004Q2","2004Q2",4245
"4248",20140,137884,1,"31.12.2005",137884,"31.12.2005","2005Q4","2005Q4",4248
"4254",20173,138343,1,"30.09.2004",138343,"30.09.2004","2004Q3","2004Q3",4254
"4267",20215,138483,1,"31.12.2005",138483,"31.12.2005","2005Q4","2005Q4",4267
"4269",20243,138601,1,"31.12.2007",138601,"31.12.2007","2007Q4","2007Q4",4269
"4274",20264,138611,1,"30.06.2004",138611,"30.06.2004","2004Q2","2004Q1",4274
"4275",20271,138611,1,"31.03.2006",138611,"31.03.2006","2006Q1","2005Q4",4275
"4276",20286,138613,1,"31.03.2005",138613,"31.03.2005","2005Q1","2005Q1",4276
"4280",20307,138707,1,"30.06.2005",138707,"30.06.2005","2005Q2","2005Q2",4280
"4286",20337,138741,1,"31.12.2007",138741,"31.12.2007","2007Q4","2007Q4",4286
"4287",20354,138743,1,"31.03.2007",138743,"31.03.2007","2007Q1","2007Q1",4287
"4289",20364,138843,1,"30.09.2004",138843,"30.09.2004","2004Q3","2004Q3",4289
"4306",20406,139221,1,"31.12.2006",139221,"31.12.2006","2006Q4","2006Q4",4306
"4317",20440,140050,1,"30.09.2007",140050,"30.09.2007","2007Q3","2007Q3",4317
"4318",20448,140073,1,"31.03.2005",140073,"31.03.2005","2005Q1","2005Q1",4318
"4319",20471,140676,1,"31.12.2005",140676,"31.12.2005","2005Q4","2005Q4",4319
"4324",20497,140977,1,"31.12.2004",140977,"31.12.2004","2004Q4","2004Q4",4324
"4326",20513,140979,1,"30.09.2004",140979,"30.09.2004","2004Q3","2004Q3",4326
"4327",20536,141321,1,"30.06.2005",141321,"30.06.2005","2005Q2","2005Q3",4327
"4331",20562,141983,1,"31.03.2004",141983,"31.03.2004","2004Q1","2004Q1",4331
"4333",20584,142129,1,"31.07.2004",142129,"31.07.2004","2004Q2","2004Q2",4333
"4335",20603,142339,1,"31.12.2004",142339,"31.12.2004","2004Q4","2004Q4",4335
"4336",20611,142339,1,"31.12.2006",142339,"31.12.2006","2006Q4","2006Q4",4336
"4342",20640,142382,1,"30.06.2007",142382,"30.06.2007","2007Q2","2007Q2",4342
"4343",20658,142811,1,"31.12.2006",142811,"31.12.2006","2006Q4","2006Q4",4343
"4344",20668,143217,1,"31.03.2005",143217,"31.03.2005","2005Q1","2005Q1",4344
"4351",20687,143443,1,"30.06.2005",143443,"30.06.2005","2005Q2","2005Q2",4351
"4369",20718,143710,1,"31.12.2004",143710,"31.12.2004","2004Q4","2004Q4",4369
"4371",20733,143754,1,"31.12.2005",143754,"31.12.2005","2005Q4","2005Q4",4371
"4377",20750,143912,1,"31.12.2005",143912,"31.12.2005","2005Q4","2005Q4",4377
"4379",20777,143974,1,"30.09.2007",143974,"30.09.2007","2007Q3","2007Q3",4379
"4381",20785,144010,1,"30.09.2004",144010,"30.09.2004","2004Q3","2004Q3",4381
"4383",20794,144010,1,"31.12.2006",144010,"31.12.2006","2006Q4","2006Q4",4383
"4384",20815,144066,1,"31.03.2007",144066,"31.03.2007","2007Q1","2007Q2",4384
"4385",20830,144181,1,"31.03.2006",144181,"31.03.2006","2006Q1","2006Q1",4385
"4386",20845,144275,1,"31.03.2006",144275,"31.03.2006","2006Q1","2006Q3",4386
"4391",20875,144998,1,"31.12.2005",144998,"31.12.2005","2005Q4","2005Q4",4391
"4392",20899,145049,1,"30.04.2007",145049,"30.04.2007","2007Q1","2007Q1",4392
"4393",20919,145186,1,"30.06.2007",145186,"30.06.2007","2007Q2","2007Q2",4393
"4396",20926,145416,1,"31.03.2004",145416,"31.03.2004","2004Q1","2004Q2",4396
"4399",20950,145475,1,"30.09.2007",145475,"30.09.2007","2007Q3","2007Q3",4399
"4400",20959,145771,1,"31.12.2004",145771,"31.12.2004","2004Q4","2004Q4",4400
"4409",20982,145809,1,"30.09.2005",145809,"30.09.2005","2005Q3","2005Q3",4409
"4411",20991,145809,1,"31.12.2007",145809,"31.12.2007","2007Q4","2007Q4",4411
"4412",20996,145817,1,"31.03.2004",145817,"31.03.2004","2004Q1","2004Q1",4412
"4416",21026,146071,1,"31.12.2006",146071,"31.12.2006","2006Q4","2006Q4",4416
"4421",21039,146117,1,"31.03.2005",146117,"31.03.2005","2005Q1","2005Q1",4421
"4423",21050,146117,1,"31.12.2007",146117,"31.12.2007","2007Q4","2007Q4",4423
"4424",21056,146171,1,"30.06.2004",146171,"30.06.2004","2004Q2","2004Q2",4424
"4425",21086,146176,1,"31.12.2006",146176,"31.12.2006","2006Q4","2006Q4",4425
"4429",21098,146204,1,"31.12.2004",146204,"31.12.2004","2004Q4","2004Q4",4429
"4446",21188,147262,1,"30.09.2006",147262,"30.09.2006","2006Q3","2006Q3",4446
"4448",21199,147302,1,"30.06.2004",147302,"30.06.2004","2004Q2","2004Q2",4448
"4449",21219,147340,1,"31.12.2006",147340,"31.12.2006","2006Q4","2006Q4",4449
"4451",21233,147453,1,"31.03.2006",147453,"31.03.2006","2006Q1","2006Q1",4451
"4452",21243,147483,1,"31.12.2005",147483,"31.12.2005","2005Q4","2005Q4",4452
"4454",21255,147638,1,"31.03.2004",147638,"31.03.2004","2004Q1","2004Q1",4454
"4456",21273,147639,1,"31.12.2004",147639,"31.12.2004","2004Q4","2004Q4",4456
"4457",21280,147639,1,"30.09.2006",147639,"30.09.2006","2006Q3","2006Q3",4457
"4460",21314,147657,1,"31.03.2006",147657,"31.03.2006","2006Q1","2006Q1",4460
"4461",21335,147658,1,"30.06.2006",147658,"30.06.2006","2006Q2","2006Q3",4461
"4462",21356,147708,1,"31.10.2006",147708,"31.10.2006","2006Q3","2006Q4",4462
"4464",21375,148219,1,"31.12.2004",148219,"31.12.2004","2004Q4","2004Q4",4464
"4465",21395,148234,1,"30.06.2005",148234,"30.06.2005","2005Q2","2005Q1",4465
"4466",21402,148234,1,"31.03.2007",148234,"31.03.2007","2007Q1","2006Q4",4466
"4467",21403,148281,1,"31.03.2006",148281,"31.03.2006","2006Q1","2006Q1",4467
"4468",21416,148313,1,"31.03.2005",148313,"31.03.2005","2005Q1","2005Q1",4468
"4469",21434,148391,1,"31.07.2004",148391,"31.07.2004","2004Q2","2004Q2",4469
"4470",21455,148410,1,"31.12.2004",148410,"31.12.2004","2004Q4","2004Q4",4470
"4473",21471,148476,1,"30.09.2004",148476,"30.09.2004","2004Q3","2004Q3",4473
"4474",21490,148509,1,"30.06.2004",148509,"30.06.2004","2004Q2","2004Q2",4474
"4479",21508,148770,1,"31.03.2005",148770,"31.03.2005","2005Q1","2005Q1",4479
"4480",21525,149268,1,"30.06.2004",149268,"30.06.2004","2004Q2","2004Q2",4480
"4482",21540,149379,1,"31.03.2004",149379,"31.03.2004","2004Q1","2004Q2",4482
"4483",21561,149477,1,"30.04.2005",149477,"30.04.2005","2005Q1","2004Q4",4483
"4488",21578,149578,1,"31.03.2005",149578,"31.03.2005","2005Q1","2005Q1",4488
"4495",21614,150201,1,"30.06.2004",150201,"30.06.2004","2004Q2","2004Q2",4495
"4498",21634,150284,1,"31.12.2004",150284,"31.12.2004","2004Q4","2005Q1",4498
"4502",21642,150284,1,"31.12.2006",150284,"31.12.2006","2006Q4","2007Q1",4502
"4512",21654,150644,1,"31.03.2005",150644,"31.03.2005","2005Q1","2005Q1",4512
"4513",21685,150699,1,"31.12.2007",150699,"31.12.2007","2007Q4","2007Q4",4513
"4517",21705,151257,1,"31.12.2004",151257,"31.12.2004","2004Q4","2004Q4",4517
"4524",21723,151586,1,"31.12.2005",151586,"31.12.2005","2005Q4","2005Q4",4524
"4528",21730,151932,1,"30.09.2005",151932,"30.09.2005","2005Q3","2005Q4",4528
"4543",21764,152248,1,"30.06.2005",152248,"30.06.2005","2005Q2","2005Q2",4543
"4545",21788,152790,1,"31.12.2007",152790,"31.12.2007","2007Q4","2007Q4",4545
"4546",21806,152809,1,"31.12.2007",152809,"31.12.2007","2007Q4","2007Q4",4546
"4547",21808,154433,1,"31.12.2005",154433,"31.12.2005","2005Q4","2005Q4",4547
"4556",21841,155394,1,"30.06.2005",155394,"30.06.2005","2005Q2","2005Q2",4556
"4558",21848,155394,1,"31.03.2007",155394,"31.03.2007","2007Q1","2007Q1",4558
"4559",21863,155614,1,"30.09.2006",155614,"30.09.2006","2006Q3","2006Q3",4559
"4563",21881,155735,1,"31.12.2004",155735,"31.12.2004","2004Q4","2004Q4",4563
"4564",21890,155735,1,"31.03.2007",155735,"31.03.2007","2007Q1","2007Q1",4564
"4565",21898,155934,1,"31.12.2004",155934,"31.12.2004","2004Q4","2004Q4",4565
"4569",21940,156614,1,"31.01.2007",156614,"31.01.2007","2006Q4","2006Q4",4569
"4570",21954,156633,1,"30.06.2006",156633,"30.06.2006","2006Q2","2006Q3",4570
"4571",21959,156633,1,"30.09.2007",156633,"30.09.2007","2007Q3","2007Q4",4571
"4572",21962,157020,1,"30.06.2004",157020,"30.06.2004","2004Q2","2004Q2",4572
"4577",21985,157195,1,"30.06.2006",157195,"30.06.2006","2006Q2","2006Q2",4577
"4579",21995,157494,1,"31.12.2004",157494,"31.12.2004","2004Q4","2004Q4",4579
"4580",22003,157494,1,"31.12.2006",157494,"31.12.2006","2006Q4","2006Q4",4580
"4582",22014,157634,1,"30.09.2005",157634,"30.09.2005","2005Q3","2005Q3",4582
"4583",22020,157634,1,"31.03.2007",157634,"31.03.2007","2007Q1","2007Q1",4583
"4584",22033,157735,1,"31.03.2006",157735,"31.03.2006","2006Q1","2006Q1",4584
"4586",22046,157954,1,"31.12.2006",157954,"31.12.2006","2006Q4","2006Q4",4586
"4587",22066,158513,1,"31.12.2007",158513,"31.12.2007","2007Q4","2007Q4",4587
"4588",22069,160282,1,"31.12.2005",160282,"31.12.2005","2005Q4","2005Q4",4588
"4593",22087,160336,1,"31.03.2007",160336,"31.03.2007","2007Q1","2007Q1",4593
"4596",22095,160343,1,"30.06.2005",160343,"30.06.2005","2005Q2","2005Q2",4596
"4597",22117,160364,1,"31.12.2007",160364,"31.12.2007","2007Q4","2007Q4",4597
"4598",22121,160474,1,"31.12.2005",160474,"31.12.2005","2005Q4","2005Q4",4598
"4600",22133,160492,1,"30.09.2005",160492,"30.09.2005","2005Q3","2005Q3",4600
"4605",22144,160549,1,"30.09.2005",160549,"30.09.2005","2005Q3","2005Q3",4605
"4607",22154,160597,1,"31.12.2004",160597,"31.12.2004","2004Q4","2004Q4",4607
"4608",22174,160600,1,"30.09.2007",160600,"30.09.2007","2007Q3","2007Q3",4608
"4609",22178,160607,1,"31.12.2004",160607,"31.12.2004","2004Q4","2004Q4",4609
"4613",22199,160623,1,"31.05.2007",160623,"31.05.2007","2007Q2","2006Q4",4613
"4616",22204,160684,1,"31.03.2005",160684,"31.03.2005","2005Q1","2005Q1",4616
"4617",22217,160797,1,"31.12.2005",160797,"31.12.2005","2005Q4","2005Q4",4617
"4618",22234,160837,1,"31.07.2006",160837,"31.07.2006","2006Q2","2006Q4",4618
"4623",22243,160838,1,"31.12.2005",160838,"31.12.2005","2005Q4","2005Q4",4623
"4627",22255,160889,1,"31.12.2005",160889,"31.12.2005","2005Q4","2005Q4",4627
"4628",22272,160913,1,"31.12.2006",160913,"31.12.2006","2006Q4","2006Q4",4628
"4629",22289,161064,1,"31.12.2007",161064,"31.12.2007","2007Q4","2007Q4",4629
"4630",22296,161072,1,"30.06.2006",161072,"30.06.2006","2006Q2","2006Q2",4630
"4637",22309,161110,1,"30.06.2006",161110,"30.06.2006","2006Q2","2006Q2",4637
"4638",22325,161816,1,"30.09.2006",161816,"30.09.2006","2006Q3","2006Q3",4638
"4640",22337,161843,1,"30.09.2006",161843,"30.09.2006","2006Q3","2006Q3",4640
"4641",22347,161869,1,"31.12.2005",161869,"31.12.2005","2005Q4","2005Q4",4641
"4642",22359,161877,1,"31.12.2005",161877,"31.12.2005","2005Q4","2005Q4",4642
"4647",22366,161903,1,"31.03.2005",161903,"31.03.2005","2005Q1","2005Q1",4647
"4656",22381,161994,1,"30.09.2005",161994,"30.09.2005","2005Q3","2005Q3",4656
"4657",22395,162129,1,"30.11.2005",162129,"30.11.2005","2005Q4","2005Q2",4657
"4658",22404,162234,1,"31.03.2005",162234,"31.03.2005","2005Q1","2005Q1",4658
"4669",22416,162264,1,"31.12.2004",162264,"31.12.2004","2004Q4","2004Q4",4669
"4670",22423,162264,1,"30.09.2006",162264,"30.09.2006","2006Q3","2006Q3",4670
"4672",22434,162283,1,"31.03.2007",162283,"31.03.2007","2007Q1","2007Q1",4672
"4673",22438,162378,1,"31.12.2004",162378,"31.12.2004","2004Q4","2004Q4",4673
"4677",22448,162386,1,"31.03.2005",162386,"31.03.2005","2005Q1","2005Q3",4677
"4679",22464,162448,1,"30.09.2006",162448,"30.09.2006","2006Q3","2006Q3",4679
"4680",22470,162897,1,"30.09.2005",162897,"30.09.2005","2005Q3","2005Q3",4680
"4681",22487,162907,1,"31.03.2007",162907,"31.03.2007","2007Q1","2007Q1",4681
"4683",22491,162956,1,"31.12.2005",162956,"31.12.2005","2005Q4","2006Q1",4683
"4684",22510,163595,1,"31.12.2007",163595,"31.12.2007","2007Q4","2007Q4",4684
"4685",22513,163629,1,"31.12.2005",163629,"31.12.2005","2005Q4","2005Q4",4685
"4687",22531,163720,1,"30.09.2007",163720,"30.09.2007","2007Q3","2007Q3",4687
"4688",22533,163772,1,"31.12.2005",163772,"31.12.2005","2005Q4","2005Q4",4688
"4689",22543,163877,1,"31.12.2005",163877,"31.12.2005","2005Q4","2006Q2",4689
"4690",22555,163887,1,"31.12.2006",163887,"31.12.2006","2006Q4","2006Q4",4690
"4691",22560,163922,1,"30.09.2005",163922,"30.09.2005","2005Q3","2005Q3",4691
"4695",22570,163977,1,"30.06.2005",163977,"30.06.2005","2005Q2","2005Q2",4695
"4696",22581,164058,1,"30.06.2006",164058,"30.06.2006","2006Q2","2006Q2",4696
"4698",22591,164103,1,"31.07.2006",164103,"31.07.2006","2006Q2","2006Q2",4698
"4700",22593,164109,1,"31.03.2006",164109,"31.03.2006","2006Q1","2006Q1",4700
"4701",22601,164116,1,"30.09.2005",164116,"30.09.2005","2005Q3","2005Q3",4701
"4703",22611,164258,1,"31.03.2006",164258,"31.03.2006","2006Q1","2006Q1",4703
"4704",22617,164258,1,"30.09.2007",164258,"30.09.2007","2007Q3","2007Q3",4704
"4705",22626,164416,1,"31.12.2007",164416,"31.12.2007","2007Q4","2007Q4",4705
"4706",22629,164506,1,"31.03.2006",164506,"31.03.2006","2006Q1","2006Q1",4706
"4707",22646,164611,1,"31.12.2007",164611,"31.12.2007","2007Q4","2007Q4",4707
"4708",22651,164668,1,"31.12.2006",164668,"31.12.2006","2006Q4","2006Q4",4708
"4710",22659,164755,1,"31.12.2006",164755,"31.12.2006","2006Q4","2006Q4",4710
"4711",22672,164758,1,"31.12.2007",164758,"31.12.2007","2007Q4","2007Q4",4711
"4712",22681,165051,1,"31.12.2007",165051,"31.12.2007","2007Q4","2007Q4",4712
"4713",22682,165053,1,"31.12.2005",165053,"31.12.2005","2005Q4","2005Q4",4713
"4718",22692,165101,1,"30.06.2007",165101,"30.06.2007","2007Q2","2007Q2",4718
"4721",22697,165656,1,"30.06.2006",165656,"30.06.2006","2006Q2","2006Q4",4721
"4723",22702,165666,1,"31.12.2005",165666,"31.12.2005","2005Q4","2006Q1",4723
"4725",22715,165699,1,"30.06.2007",165699,"30.06.2007","2007Q2","2007Q2",4725
"4726",22724,165746,1,"30.06.2007",165746,"30.06.2007","2007Q2","2007Q2",4726
"4727",22733,166061,1,"30.09.2007",166061,"30.09.2007","2007Q3","2007Q3",4727
"4728",22736,166402,1,"30.06.2006",166402,"30.06.2006","2006Q2","2006Q4",4728
"4729",22741,166485,1,"31.12.2006",166485,"31.12.2006","2006Q4","2006Q4",4729
"4732",22746,166555,1,"30.06.2006",166555,"30.06.2006","2006Q2","2006Q2",4732
"4736",22753,166581,1,"31.12.2006",166581,"31.12.2006","2006Q4","2006Q4",4736
"4739",22758,174066,1,"31.12.2006",174066,"31.12.2006","2006Q4","2006Q4",4739
"4742",22765,174118,1,"31.12.2006",174118,"31.12.2006","2006Q4","2006Q4",4742
"4743",22770,174310,1,"31.12.2006",174310,"31.12.2006","2006Q4","2006Q4",4743
"4744",22776,174390,1,"31.03.2007",174390,"31.03.2007","2007Q1","2007Q1",4744
"4746",22782,174393,1,"30.06.2007",174393,"30.06.2007","2007Q2","2007Q2",4746
"4748",22786,174454,1,"31.12.2006",174454,"31.12.2006","2006Q4","2006Q4",4748
"4750",22791,174871,1,"30.06.2006",174871,"30.06.2006","2006Q2","2006Q2",4750
"4754",22798,175291,1,"30.06.2007",175291,"30.06.2007","2007Q2","2007Q3",4754
"4756",22800,175404,1,"31.12.2006",175404,"31.12.2006","2006Q4","2006Q4",4756
"4757",22805,175644,1,"31.12.2006",175644,"31.12.2006","2006Q4","2006Q4",4757
"4758",22810,176035,1,"31.12.2006",176035,"31.12.2006","2006Q4","2006Q4",4758
"4759",22815,176144,1,"31.12.2006",176144,"31.12.2006","2006Q4","2006Q4",4759
"4764",22820,176253,1,"30.06.2007",176253,"30.06.2007","2007Q2","2007Q2",4764
"4766",22822,176255,1,"31.12.2006",176255,"31.12.2006","2006Q4","2006Q4",4766
"4768",22827,176325,1,"31.12.2006",176325,"31.12.2006","2006Q4","2006Q4",4768
"4771",22835,176698,1,"31.12.2007",176698,"31.12.2007","2007Q4","2007Q4",4771
"4772",22839,176833,1,"31.12.2007",176833,"31.12.2007","2007Q4","2007Q4",4772
"4773",22840,176862,1,"30.06.2007",176862,"30.06.2007","2007Q2","2007Q2",4773
"4774",22851,176873,1,"30.06.2007",176873,"30.06.2007","2007Q2","2007Q1",4774
"4777",22854,177099,1,"30.09.2007",177099,"30.09.2007","2007Q3","2007Q3",4777
"4778",22856,177795,1,"30.06.2007",177795,"30.06.2007","2007Q2","2007Q2",4778
"4779",22859,178319,1,"30.09.2007",178319,"30.09.2007","2007Q3","2007Q3",4779
"4780",22861,178568,1,"31.12.2007",178568,"31.12.2007","2007Q4","2007Q4",4780
"4781",22862,178958,1,"31.12.2007",178958,"31.12.2007","2007Q4","2007Q4",4781
"4783",4783.1,264387,1,"28.02.2007",264387,"28.02.2007","2007Q1","2006Q3",4783
"4785",22896,264506,1,"31.12.2004",264506,"31.12.2004","2004Q4","2004Q4",4785
"4787",22914,264709,1,"30.09.2005",264709,"30.09.2005","2005Q3","2005Q3",4787
"4791",22928,264713,1,"30.09.2005",264713,"30.09.2005","2005Q3","2005Q3",4791
"4792",22936,264713,1,"30.09.2007",264713,"30.09.2007","2007Q3","2007Q3",4792
"4794",22945,266163,1,"31.03.2006",266163,"31.03.2006","2006Q1","2006Q1",4794
