"","X","datadate","gvkey","viol","Year","Month","Day","Date","Index","gvkey.1","datadate.1","Year.1","fyearq","fqtr","indfmt","consol","popsrc","datafmt","curcdq","datacqtr","datafqtr","actq","atq","cheq","cshoq","dlcq","dlttq","lctq","ltq","oibdpq","ppentq","saleq","seqq","txditcq","aqcy","capxy","prstkcy","costat","dvpspq","dvpsxq","prccq","Index.1"
"634",53674,12312006,8512,1,2006,12,31,"31.12.2006",14245,8512,"31.12.2006",2006,2006,4,"INDL","C","D","STD","USD","2006Q4","2006Q4",271.014,884.287,194.845,14.83,20,117,241.834,524.143,22.601,394.217,68.173,360.144,116.393,18.512,346.512,66.489,"A",0,0,43.05,15277
"635",53675,12312007,8512,1,2007,12,31,"31.12.2007",14246,8512,"31.12.2007",2007,2007,4,"INDL","C","D","STD","USD","2007Q4","2007Q4",191.793,1050.479,99.524,14.902,0,235,242.005,654.194,30.102,845.864,95.103,395.526,136.49,255.661,238.988,0.646,"A",0,0,59.13,15281
"636",53789,3312004,8526,1,2004,3,31,"31.03.2004",14266,8526,"31.03.2004",2004,2004,1,"INDL","C","D","STD","USD","2004Q1","2004Q1",24.879,44.469,0.624,85.756,4.877,36.487,28.069,64.556,0.773,14.51,2.499,-20.087,0,0,0.603,0,"I",0,0,0.55,15301
"637",53790,3312005,8526,1,2005,3,31,"31.03.2005",14267,8526,"31.03.2005",2005,2005,1,"INDL","C","D","STD","USD","2005Q1","2005Q1",21.167,39.106,0.001,86.161,2.765,37.181,30.459,67.64,0.335,12.907,2.317,-28.534,NA,0,0.121,0,"I",0,0,0.2,15305
"638",53798,6302004,8526,1,2004,6,30,"30.06.2004",14268,8526,"30.06.2004",2004,2004,2,"INDL","C","D","STD","USD","2004Q2","2004Q2",24.919,44.447,0.105,85.956,3.308,37.293,27.707,65,0.74,14.469,2.779,-20.553,0,0,1.039,0,"I",0,0,0.55,15302
"639",53799,6302005,8526,1,2005,6,30,"30.06.2005",14269,8526,"30.06.2005",2005,2005,2,"INDL","C","D","STD","USD","2005Q2","2005Q2",33.101,38.982,0.012,86.161,19.545,1.423,69.485,70.908,0.129,1.023,1.964,-31.926,NA,0,0.139,0,"I",0,0,0.17,15306
"640",53806,9302004,8526,1,2004,9,30,"30.09.2004",14270,8526,"30.09.2004",2004,2004,3,"INDL","C","D","STD","USD","2004Q3","2004Q3",24.162,43.33,0.069,85.986,3.642,36.586,28.994,65.58,-0.981,14.199,18.188,-22.25,0,0,1.296,0,"I",0,0,0.35,15303
"641",53813,12312004,8526,1,2004,12,31,"31.12.2004",14271,8526,"31.12.2004",2004,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",20.937,39.361,0.047,86.161,2.608,36.692,28.239,64.931,-2.461,13.347,18.262,-25.57,NA,0,0.308,0,"I",0,0,0.5,15304
"642",54325,2282006,8579,1,2006,2,28,"28.02.2006",14397,8579,"28.02.2006",2006,2005,4,"INDL","C","D","STD","USD","2006Q1","2005Q4",774.923,1169.861,296.115,87.018,0,184,288.848,579.879,13.897,298.922,506.022,589.982,NA,0,50.979,4.047,"A",0.1,0.1,10.53,15441
"643",54443,3312007,8599,1,2007,3,31,"31.03.2007",14431,8599,"31.03.2007",2007,2006,4,"INDL","C","D","STD","USD","2007Q1","2006Q4",738.116,899.24,604.667,31.314,0.116,0.003,251.36,272.396,-5.032,17.279,118.093,626.844,0.062,10.613,6.25,0,"A",0.03,0.03,22.47,15477
"644",54854,3312006,8675,1,2006,3,31,"31.03.2006",14513,8675,"31.03.2006",2006,2006,1,"INDL","C","D","STD","USD","2006Q1","2006Q1",220.35,629.61,11.495,16.338,60.269,270.662,176.798,529.773,7.584,382.875,223.011,99.837,8.61,0,6.539,0,"I",0,0,6.8,15556
"645",54855,3312007,8675,1,2007,3,31,"31.03.2007",14514,8675,"31.03.2007",2007,2007,1,"INDL","C","D","STD","USD","2007Q1","2007Q1",298.848,696.985,2.733,16.435,0.476,343.57,126.37,594.35,-6.485,367.396,200.461,102.635,20.628,0,5.197,0,"I",0,0,6.75,15560
"646",54867,6302007,8675,1,2007,6,30,"30.06.2007",14518,8675,"30.06.2007",2007,2007,2,"INDL","C","D","STD","USD","2007Q2","2007Q2",259.378,681.956,4.586,16.448,226.675,133.892,335.673,601.086,-19.889,391.435,236.517,80.87,22.789,0,11.436,0,"I",0,0,3.97,15561
"647",54877,9302005,8675,1,2005,9,30,"30.09.2005",14520,8675,"30.09.2005",2005,2005,3,"INDL","C","D","STD","USD","2005Q3","2005Q3",227.401,635.006,6.041,16.309,63.974,228.539,191.07,487.637,-1.806,384.027,212.736,147.369,0,37.546,31.905,0,"I",0.08,0.08,10.21,15554
"648",54878,9302006,8675,1,2006,9,30,"30.09.2006",14521,8675,"30.09.2006",2006,2006,3,"INDL","C","D","STD","USD","2006Q3","2006Q3",243.911,677.858,9.212,16.332,0.423,388.758,119.066,593.662,11.671,390.425,214.583,84.196,10.14,0,21.408,0,"I",0,0,5.75,15558
"649",54888,12312005,8675,1,2005,12,31,"31.12.2005",14523,8675,"31.12.2005",2005,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",218.049,630.653,5.507,16.305,63.8,268.2,169.163,518.621,-9.411,386.401,226.806,112.032,9.042,37.596,43.715,0,"I",0,0,8.33,15555
"650",55876,1312004,8832,1,2004,1,31,"31.01.2004",14756,8832,"31.01.2004",2004,2003,4,"INDL","C","D","STD","USD","2003Q4","2003Q4",11,16.749,8.813,1.803,1.092,0.109,2.706,3.879,NA,1.913,2.482,12.87,1.064,3.751,0.424,0,"A",0,0,6.91,15803
"651",55877,1312005,8832,1,2005,1,31,"31.01.2005",14757,8832,"31.01.2005",2005,2004,4,"INDL","C","D","STD","USD","2004Q4","2004Q4",8.244,25.257,0.771,2.759,2.321,0.481,6.756,9.757,-0.413,2.703,6.033,15.5,2.52,6.65,0.242,0,"A",0,0,5.65,15807
"652",55878,1312006,8832,1,2006,1,31,"31.01.2006",14758,8832,"31.01.2006",2006,2005,4,"INDL","C","D","STD","USD","2005Q4","2005Q4",8.356,23.622,0.305,3.814,1.664,3.468,6.84,11.936,-0.043,3.324,7.311,11.686,1.618,0.426,1.48,0,"A",0,0,2.35,15811
