"","X","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","quarter","X.1","X.2","Index"
"52416",52416,"2004Q1",7883,"http://www.sec.gov/Archives/edgar/data/225263/0001193125-04-077844.txt",225263,"10-Q","NEWPORT CORP","16164","16195",20041,NA,NA,12850
"52499",52499,"2004Q1",7904,"http://www.sec.gov/Archives/edgar/data/72020/0000072020-04-000017.txt",72020,"10-Q","NICOR INC","16161","16191",20041,NA,NA,12866
"52549",52549,"2004Q1",7906,"http://www.sec.gov/Archives/edgar/data/320187/0000320187-04-000088.txt",320187,"10-Q","NIKE INC","16169","16169",20041,NA,NA,12882
"52600",52600,"2004Q1",7911,"http://www.sec.gov/Archives/edgar/data/72205/0000897069-04-001197.txt",72205,"10-Q","NOBILITY HOMES INC","16192","16237",20041,NA,NA,12898
"52651",52651,"2004Q1",7912,"http://www.sec.gov/Archives/edgar/data/72207/0001104659-04-013288.txt",72207,"10-Q","NOBLE ENERGY INC","16161","16201",20041,NA,NA,12913
"52702",52702,"2004Q1",7917,"http://www.sec.gov/Archives/edgar/data/72243/0000072243-04-000006.txt",72243,"10-Q","NOLAND CO","16161","16205",20041,NA,NA,12929
"52725",52725,"2006Q4",7920,"http://www.sec.gov/Archives/edgar/data/72316/0001062993-07-001047.txt",72316,"10KSB","NORD RESOURCES CORP","17166","17253",20064,NA,NA,12934
"52764",52764,"2004Q1",7921,"http://www.sec.gov/Archives/edgar/data/72331/0000950152-04-004445.txt",72331,"10-Q","NORDSON CORP","16193","16226",20041,NA,NA,12939
"52815",52815,"2004Q1",7922,"http://www.sec.gov/Archives/edgar/data/72333/0000072333-04-000165.txt",72333,"10-Q","NORDSTROM INC","16192","16230",20041,NA,NA,12955
"52866",52866,"2004Q1",7923,"http://www.sec.gov/Archives/edgar/data/702165/0000702165-04-000091.txt",702165,"10-Q","NORFOLK SOUTHERN CORP","16161","16189",20041,NA,NA,12971
"52917",52917,"2004Q1",7932,"http://www.sec.gov/Archives/edgar/data/72418/0000950134-04-010865.txt",72418,"10-K","NORSTAN INC","16191","16281",20041,NA,NA,12987
"52977",52977,"2004Q1",7936,"http://www.sec.gov/Archives/edgar/data/72444/0001193125-04-069084.txt",72444,"10-Q","NABI  BIOPHARMACEUTICALS","16157","16187",20041,NA,NA,12990
"53026",53026,"2004Q1",7938,"http://www.sec.gov/Archives/edgar/data/789933/0000950152-04-003789.txt",789933,"10-Q","NACCO INDUSTRIES INC","16161","16201",20041,NA,NA,13003
"53080",53080,"2004Q1",7951,"http://www.sec.gov/Archives/edgar/data/72573/0000950123-04-007237.txt",72573,"10-Q","MOVADO GROUP INC","16191","16231",20041,NA,NA,13019
"53154",53154,"2004Q1",7964,"http://www.sec.gov/Archives/edgar/data/764765/0001193125-04-081881.txt",764765,"10-Q","NORTH PITTSBURGH SYSTEMS INC","16161","16198",20041,NA,NA,13035
"53220",53220,"2004Q1",7970,"http://www.sec.gov/Archives/edgar/data/72741/0000072741-04-000048.txt",72741,"10-Q","NORTHEAST UTILITIES SYSTEM","16161","16198",20041,NA,NA,13050
"53269",53269,"2004Q1",7974,"http://www.sec.gov/Archives/edgar/data/1111711/0000950137-04-003737.txt",1111711,"10-Q","NISOURCE INC/DE","16161","16198",20041,NA,NA,13066
"53319",53319,"2004Q1",7977,"http://www.sec.gov/Archives/edgar/data/72903/0000950134-04-006663.txt",72903,"10-Q","XCEL ENERGY INC","16161","16196",20041,NA,NA,13082
"53371",53371,"2004Q1",7985,"http://www.sec.gov/Archives/edgar/data/1133421/0001193125-04-077599.txt",1133421,"10-Q","NORTHROP GRUMMAN CORP /DE/","16161","16195",20041,NA,NA,13098
"53423",53423,"2004Q1",7991,"http://www.sec.gov/Archives/edgar/data/97216/0000097216-04-000189.txt",97216,"10-Q","TEREX CORP","16161","16198",20041,NA,NA,13114
"53475",53475,"2004Q1",7993,"http://www.sec.gov/Archives/edgar/data/73020/0001193125-04-082293.txt",73020,"10-Q","NORTHWEST NATURAL GAS CO","16161","16198",20041,NA,NA,13130
"53527",53527,"2004Q1",7995,"http://www.sec.gov/Archives/edgar/data/73048/0000950134-04-009271.txt",73048,"10KSB","BROADVIEW MEDIA INC","16161","16247",20041,NA,NA,13146
"53575",53575,"2004Q1",8001,"http://www.sec.gov/Archives/edgar/data/73088/0001047469-04-016344.txt",73088,"10-Q","NORTHWESTERN CORP","16161","16198",20041,NA,NA,13162
"53678",53678,"2004Q1",8017,"http://www.sec.gov/Archives/edgar/data/718074/0001193125-04-085965.txt",718074,"10-K","NU HORIZONS ELECTRONICS CORP","16130","16203",20041,NA,NA,13178
"53746",53746,"2004Q1",8030,"http://www.sec.gov/Archives/edgar/data/73309/0001193125-04-079154.txt",73309,"10-Q","NUCOR CORP","16164","16196",20041,NA,NA,13194
"53794",53794,"2004Q1",8036,"http://www.sec.gov/Archives/edgar/data/318716/0001144204-04-007465.txt",318716,"10QSB","NEW CENTURY COMPANIES INC","16161","16215",20041,NA,NA,13210
"53854",53854,"2004Q1",8045,"http://www.sec.gov/Archives/edgar/data/73779/0001019056-04-000735.txt",73779,"10QSB","OCG TECHNOLOGY INC","16161","16208",20041,NA,NA,13226
"53913",53913,"2004Q1",8047,"http://www.sec.gov/Archives/edgar/data/73773/0000950129-04-002979.txt",73773,"10-Q","OI CORP","16161","16198",20041,NA,NA,13239
"53965",53965,"2004Q1",8049,"http://www.sec.gov/Archives/edgar/data/874992/0000950134-04-005954.txt",874992,"10-Q","REMINGTON OIL & GAS CORP","16161","16188",20041,NA,NA,13255
"54034",54034,"2004Q1",8054,"http://www.sec.gov/Archives/edgar/data/74688/0000074688-04-000009.txt",74688,"10QSB","OPT SCIENCES CORP","16192","16274",20041,NA,NA,13264
"54066",54066,"2004Q1",8060,"http://www.sec.gov/Archives/edgar/data/1094019/0001144204-04-006673.txt",1094019,"10-Q","NEWTEK BUSINESS SERVICES INC","16161","16205",20041,NA,NA,13280
"54128",54128,"2004Q1",8065,"http://www.sec.gov/Archives/edgar/data/216748/0001010549-04-000359.txt",216748,"10KSB","OAKRIDGE ENERGY INC","16130","16223",20041,NA,NA,13294
"54210",54210,"2004Q1",8068,"http://www.sec.gov/Archives/edgar/data/797468/0000797468-04-000048.txt",797468,"10-Q","OCCIDENTAL PETROLEUM CORP /DE/","16161","16195",20041,NA,NA,13310
"54263",54263,"2004Q1",8073,"http://www.sec.gov/Archives/edgar/data/350737/0000350737-04-000035.txt",350737,"10-Q","OCEAN BIO CHEM INC","16161","16205",20041,NA,NA,13326
"54315",54315,"2004Q1",8079,"http://www.sec.gov/Archives/edgar/data/73756/0000950129-04-003002.txt",73756,"10-Q","OCEANEERING INTERNATIONAL INC","16161","16201",20041,NA,NA,13342
"54367",54367,"2004Q1",8080,"http://www.sec.gov/Archives/edgar/data/73759/0001035704-04-000242.txt",73759,"10QSB","OCEANIC EXPLORATION CO","16161","16205",20041,NA,NA,13358
"54419",54419,"2004Q1",8084,"http://www.sec.gov/Archives/edgar/data/73822/0001104659-04-014585.txt",73822,"10-Q","STRATEGIC DISTRIBUTION INC","16161","16205",20041,NA,NA,13374
"54461",54461,"2004Q1",8087,"http://www.sec.gov/Archives/edgar/data/350868/0001104659-04-018476.txt",350868,"10-K","ITERIS HOLDINGS  INC","16161","16251",20041,NA,NA,13385
"54510",54510,"2004Q1",8092,"http://www.sec.gov/Archives/edgar/data/73887/0000073887-04-000039.txt",73887,"10-K","OFFSHORE LOGISTICS INC","16161","16230",20041,NA,NA,13388
"54589",54589,"2004Q1",8095,"http://www.sec.gov/Archives/edgar/data/1129981/0001193125-04-090021.txt",1129981,"10-Q","OGLEBAY NORTON CO /OHIO/","16161","16208",20041,NA,NA,13404
"54628",54628,"2004Q1",8096,"http://www.sec.gov/Archives/edgar/data/73942/0001104659-04-016845.txt",73942,"10-Q","OHIO ART CO","16191","16236",20041,NA,NA,13412
"54659",54659,"2004Q1",8099,"http://www.sec.gov/Archives/edgar/data/1031296/0001031296-04-000115.txt",1031296,"10-Q","FIRSTENERGY CORP","16161","16201",20041,NA,NA,13415
"54680",54680,"2006Q2",8101,"http://www.sec.gov/Archives/edgar/data/748015/0001047469-06-009494.txt",748015,"10-Q","SEALY CORP","16949","16994",20062,NA,NA,13431
"54724",54724,"2004Q2",8105,"http://www.sec.gov/Archives/edgar/data/74046/0000950137-04-009132.txt",74046,"10-K","OIL DRI CORPORATION OF AMERICA","16283","16372",20042,NA,NA,13438
"54775",54775,"2004Q1",8109,"http://www.sec.gov/Archives/edgar/data/74058/0000897101-04-000998.txt",74058,"10-Q","OILGEAR CO","16161","16208",20041,NA,NA,13453
"54813",54813,"2004Q1",8113,"http://www.sec.gov/Archives/edgar/data/1021635/0001021635-04-000127.txt",1021635,"10-Q","OGE ENERGY CORP","16161","16198",20041,NA,NA,13464
"54865",54865,"2004Q1",8123,"http://www.sec.gov/Archives/edgar/data/74303/0001193125-04-080637.txt",74303,"10-Q","OLIN CORP","16161","16197",20041,NA,NA,13480
"54930",54930,"2004Q1",8133,"http://www.sec.gov/Archives/edgar/data/353230/0000950117-04-001803.txt",353230,"10-Q","OMNICARE INC","16161","16201",20041,NA,NA,13495
"54987",54987,"2004Q1",8150,"http://www.sec.gov/Archives/edgar/data/74585/0000950117-04-002144.txt",74585,"10-Q","ONEIDA LTD","16192","16232",20041,NA,NA,13511
"55025",55025,"2004Q1",8151,"http://www.sec.gov/Archives/edgar/data/1039684/0001193125-04-075542.txt",1039684,"10-Q","ONEOK INC /NEW/","16161","16191",20041,NA,NA,13521
"55077",55077,"2004Q1",8162,"http://www.sec.gov/Archives/edgar/data/275858/0001104659-04-014461.txt",275858,"10-Q","OPTELECOM INC","16161","16205",20041,NA,NA,13537
"55143",55143,"2004Q1",8176,"http://www.sec.gov/Archives/edgar/data/74818/0000074818-04-000010.txt",74818,"10QSB","ORBIT INTERNATIONAL CORP","16161","16202",20041,NA,NA,13544
"55227",55227,"2004Q1",8193,"http://www.sec.gov/Archives/edgar/data/75042/0000075042-04-000024.txt",75042,"10-Q","OSHKOSH B GOSH INC","16164","16182",20041,NA,NA,13560
"55320",55320,"2004Q1",8199,"http://www.sec.gov/Archives/edgar/data/75129/0000950134-04-007007.txt",75129,"10-Q","OTTER TAIL CORP","16161","16201",20041,NA,NA,13565
"55377",55377,"2004Q1",8210,"http://www.sec.gov/Archives/edgar/data/75208/0001104659-04-012873.txt",75208,"10-Q","OVERSEAS SHIPHOLDING GROUP INC","16161","16197",20041,NA,NA,13581
"55429",55429,"2004Q1",8213,"http://www.sec.gov/Archives/edgar/data/75252/0001193125-04-080651.txt",75252,"10-Q","OWENS & MINOR INC/VA/","16161","16197",20041,NA,NA,13597
"55481",55481,"2004Q1",8214,"http://www.sec.gov/Archives/edgar/data/75234/0001193125-04-079297.txt",75234,"10-Q","OWENS CORNING","16161","16196",20041,NA,NA,13613
"55489",55489,"2006Q4",8214,"http://www.sec.gov/Archives/edgar/data/1370946/0001193125-07-054643.txt",1370946,"10-K","Owens Corning","17166","17239",20064,NA,NA,13621
"55530",55530,"2004Q1",8215,"http://www.sec.gov/Archives/edgar/data/812074/0001047469-04-016641.txt",812074,"10-Q","OWENS ILLINOIS INC /DE/","16161","16201",20041,NA,NA,13626
"55581",55581,"2004Q1",8219,"http://www.sec.gov/Archives/edgar/data/75288/0000075288-04-000012.txt",75288,"10-Q","OXFORD INDUSTRIES INC","16128","16167",20041,NA,NA,13642
"55633",55633,"2004Q1",8229,"http://www.sec.gov/Archives/edgar/data/75340/0001104659-04-014761.txt",75340,"10-Q","P&F INDUSTRIES INC","16161","16208",20041,NA,NA,13658
"55698",55698,"2004Q1",8247,"http://www.sec.gov/Archives/edgar/data/79879/0001193125-04-076482.txt",79879,"10-Q","PPG INDUSTRIES INC","16161","16194",20041,NA,NA,13674
"55763",55763,"2004Q1",8250,"http://www.sec.gov/Archives/edgar/data/81288/0000950123-04-006470.txt",81288,"10-Q","PVC CONTAINER CORP","16161","16208",20041,NA,NA,13690
"55802",55802,"2004Q1",8253,"http://www.sec.gov/Archives/edgar/data/75362/0001104659-04-013142.txt",75362,"10-Q","PACCAR INC","16161","16198",20041,NA,NA,13698
"55880",55880,"2004Q1",8264,"http://www.sec.gov/Archives/edgar/data/1004980/0001004980-04-000101.txt",1004980,"10-Q","PG&E CORP","16161","16195",20041,NA,NA,13714
"55927",55927,"2004Q1",8266,"http://www.sec.gov/Archives/edgar/data/277058/0000950129-04-004818.txt",277058,"10-K","NEVADA GOLD & CASINOS INC","16161","16266",20041,NA,NA,13730
"55978",55978,"2004Q1",8272,"http://www.sec.gov/Archives/edgar/data/1032208/0000086521-04-000011.txt",1032208,"10-Q","SEMPRA ENERGY","16161","16190",20041,NA,NA,13746
"56022",56022,"2007Q1",8290,"http://www.sec.gov/Archives/edgar/data/75594/0001081316-07-000027.txt",75594,"10-Q","PACIFICORP /OR/","17256","17293",20071,NA,NA,13762
"56059",56059,"2004Q1",8293,"http://www.sec.gov/Archives/edgar/data/75681/0001157523-04-004632.txt",75681,"10-Q","PAXAR CORP","16161","16201",20041,NA,NA,13765
"56105",56105,"2004Q1",8304,"http://www.sec.gov/Archives/edgar/data/75829/0001125282-04-002732.txt",75829,"10-Q","PALL CORP","16191","16236",20041,NA,NA,13778
"56180",56180,"2004Q1",8330,"http://www.sec.gov/Archives/edgar/data/76094/0001019056-04-000733.txt",76094,"10QSB","LEVCOR INTERNATIONAL INC","16161","16208",20041,NA,NA,13794
"56228",56228,"2004Q1",8333,"http://www.sec.gov/Archives/edgar/data/878088/0000898432-04-000474.txt",878088,"10-Q","PHARMACEUTICAL RESOURCES INC","16165","16205",20041,NA,NA,13810
"56280",56280,"2004Q1",8334,"http://www.sec.gov/Archives/edgar/data/708821/0000708821-04-000007.txt",708821,"10-Q","PAR TECHNOLOGY CORP","16161","16205",20041,NA,NA,13811
"56332",56332,"2004Q1",8336,"http://www.sec.gov/Archives/edgar/data/76149/0000076149-04-000003.txt",76149,"10QSB","PARADISE INC","16161","16208",20041,NA,NA,13827
"56384",56384,"2004Q1",8341,"http://www.sec.gov/Archives/edgar/data/750561/0000750561-04-000032.txt",750561,"10-Q","PARALLEL PETROLEUM CORP","16161","16204",20041,NA,NA,13843
"56434",56434,"2004Q1",8348,"http://www.sec.gov/Archives/edgar/data/76267/0000076267-04-000008.txt",76267,"10-K","PARK ELECTROCHEMICAL CORP","16130","16205",20041,NA,NA,13859
"56486",56486,"2004Q1",8350,"http://www.sec.gov/Archives/edgar/data/76282/0000950152-04-003942.txt",76282,"10-Q","PARK OHIO HOLDINGS CORP","16161","16204",20041,NA,NA,13875
"56536",56536,"2004Q1",8357,"http://www.sec.gov/Archives/edgar/data/76321/0000950129-04-003069.txt",76321,"10-Q","PARKER DRILLING CO /DE/","16161","16201",20041,NA,NA,13891
"56588",56588,"2004Q1",8358,"http://www.sec.gov/Archives/edgar/data/76334/0001193125-04-074980.txt",76334,"10-Q","PARKER HANNIFIN CORP","16161","16191",20041,NA,NA,13907
"56640",56640,"2004Q1",8365,"http://www.sec.gov/Archives/edgar/data/724988/0000910647-04-000229.txt",724988,"10-Q","PARLEX CORP","16158","16203",20041,NA,NA,13923
"56691",56691,"2004Q1",8386,"http://www.sec.gov/Archives/edgar/data/76605/0000914760-04-000083.txt",76605,"10-Q","PATRICK INDUSTRIES INC","16160","16208",20041,NA,NA,13929
"56743",56743,"2004Q1",8387,"http://www.sec.gov/Archives/edgar/data/943861/0001193125-04-086477.txt",943861,"10-Q","GOODRICH PETROLEUM CORP","16161","16204",20041,NA,NA,13945
"56794",56794,"2004Q1",8388,"http://www.sec.gov/Archives/edgar/data/704460/0001104659-04-016738.txt",704460,"10QSB","PPT VISION INC","16191","16236",20041,NA,NA,13961
"56868",56868,"2004Q1",8402,"http://www.sec.gov/Archives/edgar/data/723531/0000950152-04-002076.txt",723531,"10-Q","PAYCHEX INC","16130","16148",20041,NA,NA,13977
"56999",56999,"2004Q1",8423,"http://www.sec.gov/Archives/edgar/data/76954/0000950134-04-007578.txt",76954,"10-Q","PEERLESS MANUFACTURING CO","16161","16205",20041,NA,NA,13993
"57065",57065,"2004Q1",8434,"http://www.sec.gov/Archives/edgar/data/77106/0001116502-04-001202.txt",77106,"10-Q","PENN ENGINEERING & MANUFACTURING CORP","16161","16201",20041,NA,NA,14007
"57096",57096,"2007Q2",8439,"http://www.sec.gov/Archives/edgar/data/77155/0001104659-08-035300.txt",77155,"10-Q","PENN TRAFFIC CO","17382","17674",20072,NA,NA,14012
"57133",57133,"2004Q1",8440,"http://www.sec.gov/Archives/edgar/data/77159/0000077159-04-000061.txt",77159,"10-Q","PENN VIRGINIA CORP","16161","16198",20041,NA,NA,14015
"57182",57182,"2004Q1",8446,"http://www.sec.gov/Archives/edgar/data/1166126/0001166126-04-000053.txt",1166126,"10-Q","J C PENNEY CO INC","16192","16231",20041,NA,NA,14031
"57246",57246,"2004Q1",8455,"http://www.sec.gov/Archives/edgar/data/922224/0000922224-04-000045.txt",922224,"10-Q","PPL CORP","16161","16198",20041,NA,NA,14046
"57314",57314,"2004Q1",8463,"http://www.sec.gov/Archives/edgar/data/77360/0001193125-04-083821.txt",77360,"10-Q","PENTAIR INC","16164","16201",20041,NA,NA,14062
"57366",57366,"2004Q1",8465,"http://www.sec.gov/Archives/edgar/data/801873/0001104659-04-012432.txt",801873,"10-Q","ROTONICS MANUFACTURING INC/DE","16161","16195",20041,NA,NA,14078
"57420",57420,"2004Q1",8470,"http://www.sec.gov/Archives/edgar/data/77385/0000077385-04-000024.txt",77385,"10-Q","PEOPLES ENERGY CORP","16161","16198",20041,NA,NA,14089
"57460",57460,"2004Q1",8475,"http://www.sec.gov/Archives/edgar/data/77449/0001239124-04-000003.txt",77449,"10-Q","PEP BOYS MANNY MOE & JACK","16192","16232",20041,NA,NA,14100
"57512",57512,"2004Q1",8479,"http://www.sec.gov/Archives/edgar/data/77476/0001193125-04-066704.txt",77476,"10-Q","PEPSICO INC","16150","16183",20041,NA,NA,14116
"57559",57559,"2004Q1",8480,"http://www.sec.gov/Archives/edgar/data/710217/0001017386-04-000106.txt",710217,"10QSB","VERIDICOM INTERNATIONAL INC","16161","16240",20041,NA,NA,14132
"57599",57599,"2004Q1",8484,"http://www.sec.gov/Archives/edgar/data/719662/0000719662-04-000018.txt",719662,"10KSB","PERFECTDATA CORP","16161","16251",20041,NA,NA,14142
"57634",57634,"2004Q1",8486,"http://www.sec.gov/Archives/edgar/data/77543/0000077543-04-000015.txt",77543,"10-Q","PERINI CORP","16161","16198",20041,NA,NA,14146
"57684",57684,"2004Q1",8488,"http://www.sec.gov/Archives/edgar/data/77551/0001125282-04-002180.txt",77551,"10-Q","APPLERA CORP","16161","16204",20041,NA,NA,14162
"57734",57734,"2004Q1",8497,"http://www.sec.gov/Archives/edgar/data/725394/0001166587-04-000019.txt",725394,"10QSB","DALRADA FINANCIAL CORP","16161","16211",20041,NA,NA,14178
"57776",57776,"2004Q1",8508,"http://www.sec.gov/Archives/edgar/data/77864/0000077864-04-000007.txt",77864,"10QSB","PETROL INDUSTRIES INC","16161","16205",20041,NA,NA,14189
"57814",57814,"2004Q1",8512,"http://www.sec.gov/Archives/edgar/data/77877/0000077877-04-000019.txt",77877,"10-Q","PETROLEUM DEVELOPMENT CORP","16161","16196",20041,NA,NA,14196
"57874",57874,"2004Q1",8515,"http://www.sec.gov/Archives/edgar/data/350403/0000950129-04-002981.txt",350403,"10-Q","PETROLEUM HELICOPTERS INC","16161","16198",20041,NA,NA,14212
"57929",57929,"2004Q1",8521,"http://www.sec.gov/Archives/edgar/data/77952/0001019687-04-001046.txt",77952,"10QSB","PETROMINERALS CORP","16161","16205",20041,NA,NA,14228
"57972",57972,"2004Q1",8526,"http://www.sec.gov/Archives/edgar/data/353827/0000899681-04-000435.txt",353827,"10-Q","PHARMACEUTICAL FORMULATIONS INC","16164","16211",20041,NA,NA,14231
"58009",58009,"2004Q1",8530,"http://www.sec.gov/Archives/edgar/data/78003/0000078003-04-000132.txt",78003,"10-Q","PFIZER INC","16158","16198",20041,NA,NA,14237
"58089",58089,"2004Q1",8536,"http://www.sec.gov/Archives/edgar/data/78066/0000950153-04-000976.txt",78066,"10-Q","PHELPS DODGE CORP","16161","16189",20041,NA,NA,14253
"58130",58130,"2004Q1",8539,"http://www.sec.gov/Archives/edgar/data/1109357/0000950137-04-003290.txt",1109357,"10-Q","EXELON CORP","16161","16189",20041,NA,NA,14265
"58182",58182,"2004Q1",8542,"http://www.sec.gov/Archives/edgar/data/78128/0000950116-04-001389.txt",78128,"10-Q","AQUA AMERICA INC","16161","16196",20041,NA,NA,14281
"58233",58233,"2004Q1",8543,"http://www.sec.gov/Archives/edgar/data/764180/0000950117-04-001801.txt",764180,"10-Q","ALTRIA GROUP INC","16161","16201",20041,NA,NA,14297
"58283",58283,"2004Q1",8549,"http://www.sec.gov/Archives/edgar/data/1163165/0000950129-04-002924.txt",1163165,"10-Q","CONOCOPHILLIPS","16161","16198",20041,NA,NA,14304
"58335",58335,"2004Q1",8551,"http://www.sec.gov/Archives/edgar/data/78239/0000078239-04-000026.txt",78239,"10-Q","PHILLIPS VAN HEUSEN CORP /DE/","16193","16232",20041,NA,NA,14320
"58497",58497,"2004Q1",8577,"http://www.sec.gov/Archives/edgar/data/78460/0000950144-04-006139.txt",78460,"10-Q","PIEDMONT NATURAL GAS CO INC","16191","16232",20041,NA,NA,14336
"58548",58548,"2004Q1",8579,"http://www.sec.gov/Archives/edgar/data/278130/0000950134-04-007454.txt",278130,"10-K","PIER 1 IMPORTS INC/DE","16129","16204",20041,NA,NA,14352
"58600",58600,"2004Q1",8582,"http://www.sec.gov/Archives/edgar/data/88948/0000088948-04-000019.txt",88948,"10-K","SENECA FOODS CORP /NY/","16161","16236",20041,NA,NA,14368
"58672",58672,"2004Q1",8599,"http://www.sec.gov/Archives/edgar/data/78749/0000950152-04-004628.txt",78749,"10-K","AGILYSYS INC","16161","16236",20041,NA,NA,14384
"58724",58724,"2004Q1",8606,"http://www.sec.gov/Archives/edgar/data/78814/0000078814-04-000027.txt",78814,"10-Q","PITNEY BOWES INC /DE/","16161","16198",20041,NA,NA,14400
"58766",58766,"2007Q1",8613,"http://www.sec.gov/Archives/edgar/data/216877/0000216877-07-000009.txt",216877,"10QSB","PISMO COAST VILLAGE INC","17256","17300",20071,NA,NA,14416
"58804",58804,"2004Q1",8627,"http://www.sec.gov/Archives/edgar/data/350426/0001193125-04-080747.txt",350426,"10-Q","PLAINS RESOURCES INC","16161","16197",20041,NA,NA,14419
"58836",58836,"2004Q1",8633,"http://www.sec.gov/Archives/edgar/data/914025/0000950134-04-008135.txt",914025,"10-K","PLANTRONICS INC /CA/","16164","16217",20041,NA,NA,14420
"58896",58896,"2004Q1",8638,"http://www.sec.gov/Archives/edgar/data/1072341/0001169232-04-002682.txt",1072341,"10-Q","PLAYBOY ENTERPRISES INC","16161","16198",20041,NA,NA,14436
"58960",58960,"2004Q1",8648,"http://www.sec.gov/Archives/edgar/data/79225/0000079225-04-000006.txt",79225,"10-Q","PLYMOUTH RUBBER CO INC","16128","16173",20041,NA,NA,14452
"58995",58995,"2004Q1",8655,"http://www.sec.gov/Archives/edgar/data/230463/0001104659-04-011982.txt",230463,"10-Q","POGO PRODUCING CO","16161","16191",20041,NA,NA,14455
"59110",59110,"2004Q1",8675,"http://www.sec.gov/Archives/edgar/data/311871/0001193125-04-075766.txt",311871,"10-Q","POPE & TALBOT INC /DE/","16161","16194",20041,NA,NA,14470
"59155",59155,"2004Q1",8681,"http://www.sec.gov/Archives/edgar/data/79564/0000891092-04-002486.txt",79564,"10-Q","PORTA SYSTEMS CORP","16161","16204",20041,NA,NA,14484
"59219",59219,"2004Q1",8687,"http://www.sec.gov/Archives/edgar/data/79677/0001157523-04-005632.txt",79677,"10-Q","POSSIS MEDICAL INC","16191","16236",20041,NA,NA,14500
"59266",59266,"2004Q1",8692,"http://www.sec.gov/Archives/edgar/data/79716/0001193125-04-083089.txt",79716,"10-Q","POTLATCH CORP","16161","16201",20041,NA,NA,14516
"59270",59270,"2005Q4",8692,"http://www.sec.gov/Archives/edgar/data/1338749/0001193125-06-038583.txt",1338749,"10-K","POTLATCH CORP","16801","16856",20054,NA,NA,14520
"59310",59310,"2004Q1",8694,"http://www.sec.gov/Archives/edgar/data/1135971/0001135971-04-000115.txt",1135971,"10-Q","PEPCO HOLDINGS INC","16161","16198",20041,NA,NA,14529
"59362",59362,"2004Q1",8699,"http://www.sec.gov/Archives/edgar/data/80420/0000080420-04-000023.txt",80420,"10-Q","POWELL INDUSTRIES INC","16191","16236",20041,NA,NA,14545
"59440",59440,"2004Q1",8707,"http://www.sec.gov/Archives/edgar/data/354383/0001157523-04-005627.txt",354383,"10QSB","PRAB INC","16191","16236",20041,NA,NA,14560
"59472",59472,"2004Q1",8717,"http://www.sec.gov/Archives/edgar/data/79958/0001047469-04-020259.txt",79958,"10-K","PRECISION CASTPARTS CORP","16158","16236",20041,NA,NA,14561
"59528",59528,"2004Q1",8750,"http://www.sec.gov/Archives/edgar/data/80293/0000950123-04-006046.txt",80293,"10-Q","PRIME HOSPITALITY CORP","16161","16201",20041,NA,NA,14577
"59561",59561,"2004Q1",8755,"http://www.sec.gov/Archives/edgar/data/318107/0001035704-04-000229.txt",318107,"10-Q","PRIMA ENERGY CORP","16161","16201",20041,NA,NA,14579
"59593",59593,"2004Q1",8759,"http://www.sec.gov/Archives/edgar/data/311505/0000892569-04-000718.txt",311505,"10-K","PRINTRONIX INC","16156","16245",20041,NA,NA,14580
"59661",59661,"2004Q1",8762,"http://www.sec.gov/Archives/edgar/data/80424/0000080424-04-000075.txt",80424,"10-Q","PROCTER & GAMBLE CO","16161","16191",20041,NA,NA,14595
"59682",59682,"2007Q1",8768,"http://www.sec.gov/Archives/edgar/data/202932/0000930413-07-004105.txt",202932,"10-Q","PRO-FAC COOPERATIVE INC","17249","17290",20071,NA,NA,14611
"59804",59804,"2004Q1",8807,"http://www.sec.gov/Archives/edgar/data/1108426/0001108426-04-000065.txt",1108426,"10-Q","PNM RESOURCES INC","16161","16198",20041,NA,NA,14614
"59856",59856,"2004Q1",8810,"http://www.sec.gov/Archives/edgar/data/788784/0000950117-04-001662.txt",788784,"10-Q","PUBLIC SERVICE ENTERPRISE GROUP INC","16161","16191",20041,NA,NA,14630
"59908",59908,"2004Q1",8811,"http://www.sec.gov/Archives/edgar/data/81050/0001144204-04-006682.txt",81050,"10-Q","PUBLICARD INC","16161","16205",20041,NA,NA,14646
"59968",59968,"2004Q1",8815,"http://www.sec.gov/Archives/edgar/data/81061/0000081061-04-000074.txt",81061,"10-Q","PUBLIX SUPER MARKETS INC","16157","16197",20041,NA,NA,14658
"60038",60038,"2004Q1",8818,"http://www.sec.gov/Archives/edgar/data/1085392/0001085392-04-000052.txt",1085392,"10-Q","PUGET ENERGY INC /WA","16188","16188",20041,NA,NA,14674
"60104",60104,"2004Q1",8823,"http://www.sec.gov/Archives/edgar/data/822416/0000950124-04-002084.txt",822416,"10-Q","PULTE HOMES INC/MI/","16161","16197",20041,NA,NA,14690
"60154",60154,"2004Q1",8826,"http://www.sec.gov/Archives/edgar/data/276720/0000276720-04-000004.txt",276720,"10QSB","PURE CYCLE CORP","16130","16162",20041,NA,NA,14706
"60205",60205,"2004Q1",8832,"http://www.sec.gov/Archives/edgar/data/100591/0001144204-04-008281.txt",100591,"10QSB","ARGAN INC","16191","16232",20041,NA,NA,14722
"60257",60257,"2004Q1",8838,"http://www.sec.gov/Archives/edgar/data/81318/0000081318-04-000003.txt",81318,"10QSB","PYRAMID OIL CO","16161","16204",20041,NA,NA,14738
