"","X","datacqtr","gvkey","websiteSEC","cikSEC","formtype","nameSEC","datereport","datefiled","quarter","X.1","X.2","Index"
"1972",1972,"2004Q1",1266,"http://www.sec.gov/Archives/edgar/data/3545/0000003545-04-000033.txt",3545,"10-Q","ALICO INC","16130","16175",20041,NA,NA,479
"2003",2003,"2004Q1",1272,"http://www.sec.gov/Archives/edgar/data/745543/0000745543-04-000005.txt",745543,"10-Q","ALL STATE PROPERTIES LP","16161","16215",20041,NA,NA,495
"2072",2072,"2004Q1",1279,"http://www.sec.gov/Archives/edgar/data/3673/0001193125-04-082551.txt",3673,"10-Q","ALLEGHENY ENERGY INC","16161","16201",20041,NA,NA,511
"2152",2152,"2004Q1",1283,"http://www.sec.gov/Archives/edgar/data/3753/0000003753-04-000006.txt",3753,"10-Q","ALLEN ORGAN CO","16161","16205",20041,NA,NA,515
"2200",2200,"2004Q1",1300,"http://www.sec.gov/Archives/edgar/data/773840/0000950117-04-001676.txt",773840,"10-Q","HONEYWELL INTERNATIONAL INC","16161","16194",20041,NA,NA,519
"2252",2252,"2004Q1",1308,"http://www.sec.gov/Archives/edgar/data/3982/0001019687-04-001071.txt",3982,"10-Q","ALLIS CHALMERS CORP","16161","16208",20041,NA,NA,535
"2304",2304,"2004Q1",1318,"http://www.sec.gov/Archives/edgar/data/65873/0000065873-04-000042.txt",65873,"10-Q","ALLTEL CORP","16161","16198",20041,NA,NA,551
"2375",2375,"2004Q1",1327,"http://www.sec.gov/Archives/edgar/data/4127/0000892569-04-000664.txt",4127,"10-Q","SKYWORKS SOLUTIONS INC","16163","16208",20041,NA,NA,566
"2429",2429,"2004Q1",1331,"http://www.sec.gov/Archives/edgar/data/4164/0001144204-04-005928.txt",4164,"10-Q","ALPINE GROUP INC /DE/","16161","16195",20041,NA,NA,582
"2497",2497,"2004Q1",1356,"http://www.sec.gov/Archives/edgar/data/4281/0001193125-04-068372.txt",4281,"10-Q","ALCOA INC","16161","16184",20041,NA,NA,593
"2567",2567,"2004Q1",1360,"http://www.sec.gov/Archives/edgar/data/4317/0001047469-04-018030.txt",4317,"10KSB","SENTO CORP","16161","16211",20041,NA,NA,609
"2610",2610,"2004Q1",1363,"http://www.sec.gov/Archives/edgar/data/4344/0000950134-04-008760.txt",4344,"10-Q","BESTWAY INC","16191","16236",20041,NA,NA,621
"2614",2614,"2007Q1",1367,"http://www.sec.gov/Archives/edgar/data/276750/0001263279-07-000166.txt",276750,"10-Q","AMBER RESOURCES CO OF COLORADO","17256","17301",20071,NA,NA,625
"2650",2650,"2004Q1",1372,"http://www.sec.gov/Archives/edgar/data/27425/0000027425-04-000134.txt",27425,"10-Q","AMCAST INDUSTRIAL CORP","16130","16160",20041,NA,NA,628
"2688",2688,"2004Q1",1380,"http://www.sec.gov/Archives/edgar/data/4447/0000950123-04-005950.txt",4447,"10-Q","AMERADA HESS CORP","16161","16198",20041,NA,NA,630
"2738",2738,"2004Q1",1382,"http://www.sec.gov/Archives/edgar/data/701345/0001193125-04-081493.txt",701345,"10-Q","US AIRWAYS GROUP INC","16161","16198",20041,NA,NA,646
"2795",2795,"2004Q1",1393,"http://www.sec.gov/Archives/edgar/data/4457/0000950153-04-001463.txt",4457,"10-K","AMERCO /NV/","16161","16240",20041,NA,NA,662
"2846",2846,"2004Q1",1397,"http://www.sec.gov/Archives/edgar/data/4611/0001171520-04-000180.txt",4611,"10-Q","AMERICAN BILTRITE INC","16161","16205",20041,NA,NA,678
"2898",2898,"2004Q1",1408,"http://www.sec.gov/Archives/edgar/data/789073/0001193125-04-079423.txt",789073,"10-Q","FORTUNE BRANDS INC","16161","16196",20041,NA,NA,694
"2950",2950,"2004Q1",1410,"http://www.sec.gov/Archives/edgar/data/771497/0000950149-04-001105.txt",771497,"10-Q","ABM INDUSTRIES INC /DE/","16191","16231",20041,NA,NA,710
"2984",2984,"2007Q1",1429,"http://www.sec.gov/Archives/edgar/data/4828/0001104659-07-028446.txt",4828,"10-Q","AMERICAN CRYSTAL SUGAR CO /MN/","17225","17272",20071,NA,NA,725
"3024",3024,"2004Q1",1439,"http://www.sec.gov/Archives/edgar/data/742126/0001015402-04-001835.txt",742126,"10-Q","AMERICAN ECOLOGY CORP","16161","16196",20041,NA,NA,728
