"","Gvkey","CIK"
"4261",8901,742278
"4265",8902,110621
"4269",8925,718573
"4273",8947,82020
"4277",8958,82166
"4281",8964,797917
"4285",8972,1047122
"4289",9004,770949
"4293",9013,82788
"4297",9016,82811
"4301",9023,716643
"4305",9048,34285
"4309",9063,350698
"4313",9097,83490
"4317",9112,83588
"4321",9125,355948
"4325",9154,84112
"4329",9155,84129
"4333",9170,84278
"4337",9171,1069533
"4341",9173,84290
"4345",9177,355300
"4349",9191,225868
"4350",9203,1024478
"4354",9216,84748
"4358",9217,84792
"4362",9225,84839
"4366",9230,84919
"4370",9242,1571508
"4374",9248,745732
"4378",9258,85408
"4382",9259,85417
"4386",9281,85684
"4390",9284,85704
"4394",9289,739878
"4398",9293,85812
"4402",9298,355622
"4406",9299,85961
"4410",9302,85974
"4414",9305,723924
"4418",9311,NA
"4422",9319,89261
"4426",9323,90045
"4430",9324,766829
"4434",9325,89270
"4438",9330,315545
"4442",9340,930184
"4446",9355,86115
"4450",9359,86144
"4454",9367,812482
"4458",9372,203077
"4462",9397,753899
"4466",9402,68649
"4470",9403,313749
"4474",9411,23666
"4478",9413,NA
"4482",9441,766004
"4486",9443,87086
"4490",9445,754737
"4494",9450,727063
"4498",9455,87196
"4502",9459,NA
"4506",9466,866729
"4510",9472,87565
"4514",9473,1135431
"4518",9481,350644
"4522",9483,87777
"4526",9489,87799
"4530",9490,87802
"4534",9504,87864
"4535",9521,88000
"4539",9538,88121
"4543",9551,317788
"4547",9552,110027
"4551",9555,1012100
"4555",9563,319256
"4558",9589,750813
"4562",9590,88790
"4566",9599,88941
"4570",9603,729599
"4574",9607,89041
"4578",9611,89089
"4582",9613,1052045
"4586",9614,1066138
"4590",9619,89140
"4594",9664,354963
"4598",9667,89800
"4602",9679,89925
"4606",9686,90057
"4610",9693,1086411
"4614",9698,90168
"4618",9699,90185
"4622",9715,82628
"4626",9719,90283
"4630",9748,90721
"4634",9761,90896
"4638",9771,91142
"4642",9772,721083
"4646",9774,91388
"4650",9777,91419
"4654",9778,91440
"4658",9786,354260
"4662",9799,91668
"4666",9812,91741
"4670",9815,91767
"4674",9831,91928
"4678",9835,320575
"4682",9841,277158
"4686",9846,827052
"4690",9849,1056903
"4694",9850,92122
"4698",9867,203248
"4700",9872,92344
"4704",9882,92380
"4708",9890,1692115
"4712",9898,92472
"4716",9899,732717
"4720",9904,7332
"4724",9916,718924
"4728",9919,743238
"4732",9921,77597
"4736",9922,92679
"4740",9937,92769
"4744",9939,319013
"4748",9954,731657
"4752",9960,93003
"4755",9969,718937
"4759",9988,93319
"4762",9993,205921
"4766",9999,93384
"4770",10000,93389
"4774",10002,878560
"4778",10005,93456
"4782",10008,310354
"4786",10013,93542
"4790",10016,93556
"4794",10030,93676
"4798",10044,771790
"4802",10056,94049
"4806",10073,94185
"4810",10085,94328
"4814",10097,94673
"4818",10109,94887
"4822",10115,310764
"4826",10124,95029
"4830",10150,95301
"4834",10156,95304
"4838",10159,95366
"4842",10190,95521
"4846",10195,95552
"4850",10198,95574
"4854",10200,730000
"4858",10213,728331
"4862",10215,95779
"4866",10221,351817
"4870",10232,278352
"4874",10235,724742
"4878",10236,95953
"4882",10237,719483
"4886",10244,749290
"4890",10247,96021
"4894",10266,718449
"4898",10277,350563
"4902",10286,277928
"4906",10292,741612
"4910",10293,723615
"4914",10296,312842
"4918",10297,103096
"4922",10305,98338
"4926",10310,352079
"4930",10321,860451
"4934",10331,96287
"4938",10332,96289
"4942",10345,96412
"4946",10349,96536
"4950",10353,318833
"4954",10361,764039
"4958",10364,96699
"4962",10374,96763
"4966",10380,96793
"4970",10382,741556
"4974",10386,96831
"4978",10391,96879
"4982",10405,1018963
"4986",10407,96943
"4990",10411,1051512
"4994",10417,96988
"4998",10420,317771
"5002",10426,731939
"5006",10431,353779
"5010",10439,720480
"5014",10441,97134
"5018",10443,1024725
"5022",10453,97210
"5026",10466,50104
"5030",10484,319687
"5034",10498,97472
"5038",10499,97476
"5042",10507,1023291
"5046",10509,315261
"5050",10519,217346
"5054",10525,313277
"5058",10530,97745
"5062",10532,351902
"5066",10540,97854
"5070",10541,97886
"5074",10549,730263
"5078",10550,350907
"5082",10553,738076
"5086",10565,98222
"5090",10567,701374
"5094",10581,98362
"5098",10585,98410
"5102",10588,32258
"5106",10597,98537
"5110",10598,730349
"5114",10609,98677
"5118",10615,98720
"5122",10618,737758
"5126",10619,98752
"5130",10631,721683
"5134",10639,1005414
"5138",10656,99102
"5142",10658,99106
"5146",10676,351498
"5150",10685,99302
"5154",10686,99313
"5158",10692,99359
"5162",10726,726513
"5166",10733,712843
"5170",10734,357001
"5174",10735,99780
"5178",10740,732026
"5182",10757,941138
"5186",10777,100378
"5190",10789,860731
"5194",10791,317889
"5198",10793,100493
"5202",10795,100517
"5206",10801,884614
"5210",10813,102379
"5213",10816,757011
"5217",10827,318259
"5221",10839,100726
"5225",10840,717954
"5229",10850,352710
"5233",10860,1002910
"5237",10867,100885
"5241",10877,798949
"5245",10884,101063
"5249",10902,101295
"5253",10905,1082510
"5257",10906,101271
"5261",10920,1090727
"5265",10930,101538
"5269",10946,NA
"5273",10974,811669
"5277",10981,355999
"5281",10982,101821
"5285",10983,101829
"5289",10984,101830
"5293",10991,750004
"5297",10994,746967
"5301",10999,755001
"5305",11010,310316
"5309",11012,310142
"5313",11017,102037
"5317",11027,102109
"5321",11032,352915
"5325",11038,716039
"5329",11051,706698
"5333",11056,66960
"5337",11060,103379
"5341",11065,102752
"5345",11070,1100091
"5349",11094,102729
"5353",11096,102741
"5357",11115,203527
"5361",11124,103145
"5365",11142,206030
"5369",11147,103341
"5373",11161,310056
"5377",11162,703799
"5381",11169,758743
"5385",11172,737602
"5389",11178,103595
"5393",11183,353482
"5397",11185,751365
"5401",11191,103730
"5405",11213,103872
"5409",11225,848446
"5413",11228,1396009
"5417",11234,105132
"5421",11257,110430
"5425",11259,104169
"5429",11264,1618921
"5433",11286,737300
"5437",11289,735571
"5441",11291,104777
"5445",11296,1103601
"5449",11300,104889
"5453",11302,104897
"5457",11304,104918
"5461",11310,104987
"5465",11313,105016
"5469",11315,105076
"5473",11325,105183
"5477",11343,105418
"5481",11351,105532
"5485",11361,105608
"5489",11366,105668
"5493",11371,105729
"5497",11372,105744
"5501",11376,105770
"5505",11399,106040
"5509",11409,29952
"5513",11423,106318
"5515",11424,67494
"5519",11440,106455
