gvkey,datadate,fyearq,fqtr,indfmt,consol,popsrc,datafmt,curcdq,datacqtr,datafqtr,cik,costat
010159,30/06/2004,2004,3,INDL,C,D,STD,USD,2004Q2,2004Q3,0000095366,I
010159,30/09/2004,2004,4,INDL,C,D,STD,USD,2004Q3,2004Q4,0000095366,I
010159,31/12/2004,2005,1,INDL,C,D,STD,USD,2004Q4,2005Q1,0000095366,I
010159,31/03/2005,2005,2,INDL,C,D,STD,USD,2005Q1,2005Q2,0000095366,I
010190,31/08/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000095521,A
010190,30/11/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000095521,A
010190,28/02/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000095521,A
010190,31/05/2005,2005,1,INDL,C,D,STD,USD,2005Q2,2005Q1,0000095521,A
010195,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000095552,A
010195,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000095552,A
010195,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000095552,A
010195,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000095552,A
010198,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000095574,A
010198,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000095574,A
010198,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000095574,A
010198,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000095574,A
010200,30/06/2004,2004,1,INDL,C,D,STD,USD,2004Q2,2004Q1,0000730000,I
010200,30/09/2004,2004,2,INDL,C,D,STD,USD,2004Q3,2004Q2,0000730000,I
010200,31/12/2004,2004,3,INDL,C,D,STD,USD,2004Q4,2004Q3,0000730000,I
010200,31/03/2005,2004,4,INDL,C,D,STD,USD,2005Q1,2004Q4,0000730000,I
010213,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000728331,I
010213,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000728331,I
010213,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000728331,I
010213,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000728331,I
010215,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000095779,I
010215,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000095779,I
010215,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000095779,I
010215,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000095779,I
010221,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000351817,A
010221,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000351817,A
010221,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000351817,A
010221,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000351817,A
010232,30/06/2004,2004,2,INDL,C,D,STD,USD,2004Q2,2004Q2,0000278352,I
010232,30/09/2004,2004,3,INDL,C,D,STD,USD,2004Q3,2004Q3,0000278352,I
010232,31/12/2004,2004,4,INDL,C,D,STD,USD,2004Q4,2004Q4,0000278352,I
010232,31/03/2005,2005,1,INDL,C,D,STD,USD,2005Q1,2005Q1,0000278352,I
